analysis_version,text_sha256,token_count,char_count,occurrence_count,viewer_count,catalog_generation_count,grade_count,first_fragment_id
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,fe5516eff608f82dcecdc9db660d762df51f8e0a7e27ea0aa16327e53f4e0393,2,9,30,11,4,4,U1-H1972P2CI065-P065-F005
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,6bc54f13bea593dc5e1c8e6b16249e669d1ce99cbeac65f2a10f36e1d86f1fd4,1,2,23,7,4,4,U1-H1972P5CI085-P258-F008
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,1,1,22,7,4,4,U1-H1972P4CI078-P124-F021
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,c977dbe785221d34114d345fdf8ff4e18bb4af66750751dbea29407f9738735f,1,2,20,7,4,4,U1-H1972P5CI085-P258-F006
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,267c23695b6e8fc29bd88b9f5d1962d3d208fa9c2fafd974614e6ab3b84fa55c,1,2,19,7,4,4,U1-H1972P5CI085-P258-F010
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,ca978112ca1bbdcafac231b39a23dc4da786eff8147c4e72b9807785afee48bb,1,1,17,10,4,5,U1-H1972P3CI072-P009-F014
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,3f79bb7b435b05321651daefd374cdc681dc06faa65e374e38337b88ca046dea,1,1,16,8,3,5,U1-H1972P3CI072-P028-F003
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,a9f51566bd6705f7ea6ad54bb9deb449f795582d6529a0e22207b8981233ec58,1,1,16,10,3,4,U1-H1972P3CI072-P090-F010
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,23f663630e2f28250c09d7a0c370f55eebf635772f9ce27e46797ab8ef297f4b,1,2,14,5,4,3,U1-H1972P6CI091-P005-F030
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,540dd397b2d380dcc3f59796c4facc43379929f1a3b5e6cc9a218274391b635b,1,2,14,3,3,2,U1-H1982P4CI384-P024-F001
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,f1534392279bddbf9d43dde8701cb5be14b82f76ec6607bf8d6ad557f60f304e,1,2,13,4,3,3,U1-H1972P3CI072-P028-F006
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,1,1,11,7,4,5,U1-H1972P4CI078-P038-F002
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,a1fce4363854ff888cff4b8e7875d600c2682390412a8cf79b37d0b11148b0fa,1,1,9,6,4,3,U1-H1972P2CI065-P123-F001
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,288001cf7a9dde28d0873f0a9ed6f5ca4d33b848e3fd4056159fb2b5e1249aa7,2,5,8,8,3,4,U1-H1972P4CI078-P225-F005
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,3d6a124622df7afc17de106f5a1b2142d18919cfff019cd43254651ef7714fcc,1,3,8,6,3,3,U1-H1972P3CI072-P023-F015
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,cc287c17ac61b13c01c4c0a7d1c454ffb1dbaeab64257b859a51914e9e0e0f26,8,50,8,8,3,5,U1-H1972P2CI065-P129-F008
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,d80edd7fb074b51d1fbf46a3dcf5cae5237ceb888dcdd8bd1b7df117d53afdc4,1,2,8,4,3,3,U1-H1982P4CI384-P075-F001
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,0e9f00fcd2b27526c711ca038e17ea1a26606fdbe50d3d7da7dd47d011521487,2,10,7,4,3,2,U1-H1972P4CI078-P146-F002
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,1,1,7,6,4,4,U1-H1972P1CI060-P054-F001
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,6002766a4ef30263b3bc5f2ff3f5f46d68131a9f1ecaa55939dd96b8405b6f2e,1,11,7,7,3,4,U1-H1972P3CI072-P105-F009
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,65c74c15a686187bb6bbf9958f494fc6b80068034a659a9ad44991b08c58f2d2,1,1,7,5,4,4,U1-H1972P4CI078-P038-F001
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,69d3d0838a770964b376601e961a6f9a80cf169ab7830187e977118a972f8c8d,4,23,7,6,3,2,U1-H1972P4CI078-P207-F005
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,1,1,7,4,4,3,U1-H1972P6CI091-P056-F011
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,ce344a418127968f2bd07ada86c8cf3808eea524c399a02c0c2c0ebbe0f5467c,1,2,7,5,4,4,U1-H1972P3CI072-P050-F004
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,1,1,7,6,3,5,U1-H1982P4CI384-P035-F005
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,f8b1f3d598e5f0db4742d945343e7499753e15421732c721f69a7ffa53ed4551,1,6,7,1,1,1,U1-H2008P2CI256-P031-F001
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,2ff681e2ddc5d3773df9cb89d8482220a2ce6ba29eb3fdf36c514336b5f7d97a,2,14,6,1,1,1,U1-H2008P2CI256-P019-F007
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce,1,1,6,5,3,3,U1-H1972P4CI078-P144-F001
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,c4694f2e93d5c4e7d51f9c5deb75e6cc8be5e1114178c6a45b6fc2c566a0aa8c,1,1,6,3,1,3,U1-H1972P3CI072-P054-F007
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,fd0a559e715a134218c73276dc57d463cc4ff1a7d81f21846d6cfb65f8a23e9c,1,2,6,6,4,4,U1-H1972P4CI078-P051-F010
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,0fd42b3f73c448b34940b339f87d07adf116b05c0227aad72e8f0ee90533e699,1,3,5,5,4,3,U1-H1972P3CI072-P109-F036
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,18f5384d58bcb1bba0bcd9e6a6781d1a6ac2cc280c330ecbab6cb7931b721552,1,1,5,4,3,4,U1-H1972P3CI072-P043-F001
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,454f63ac30c8322997ef025edff6abd23e0dbe7b8a3d5126a894e4a168c1b59b,1,3,5,5,4,4,U1-H1972P4CI078-P103-F004
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,70d34478b0dac0834d39d8fd05ef9e23607222c3d5835db93d9f49131837f5ba,1,9,5,4,2,2,U1-H1982P5CI390-P096-F004
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767,1,2,5,4,4,4,U1-H1972P5CI085-P119-F016
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,b9f58376bf3b360a72c181652f43bb027a0c193b78d904fabe1dd579cd9e643f,1,5,5,1,1,1,U1-H2008P2CI256-P021-F001
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,c7ffe9a48f52eb7406533725fb82d48af4ad0d0814a4fbd2d52b59b5a5da572b,3,21,5,5,3,2,U1-H1972P5CI085-P080-F002
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,f638c8ccdeec260249fb48bc5a4f002eba32a1af458e6288100483894c853b7b,1,6,5,2,2,1,U1-H1972P5CI085-P097-F003
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,f9520c9288f9f121cbd52284c1853941e58471e9b8567857e4e240e968bb3247,8,49,5,5,3,4,U1-H1972P2CI065-P129-F001
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,1285a8a26a44cf22fc0e528f1c3eed213a9689c2280ec7aff9c4b87d6ae0f957,3,21,4,4,3,4,U1-H1972P2CI065-P129-F003
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,1df6f9c9f8b219ae55f7a95066e11e1755015f7c1a1836319abb503a5769153e,4,23,4,4,3,2,U1-H1972P4CI078-P200-F006
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,22aae3e2ccaa089a6289196ced6f7c74bf5c7b920ea19c8d21efabf5630972fd,2,14,4,4,3,2,U1-H1972P5CI085-P013-F001
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,25cd026529f36e2069ec56805faf32a3c05d444c910bbfec6c4eb0893d9dde20,1,2,4,3,2,2,U1-H1972P6CI091-P099-F003
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,2fca346db656187102ce806ac732e06a62df0dbb2829e511a770556d398e1a6e,1,2,4,4,3,3,U1-H1972P2CI065-P005-F015
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,339ff81faf7605db6878bda8c7e721aaa030ae99160b4fd874a58d8b409eaaff,2,5,4,4,1,4,U1-H1972P2CI065-P129-F005
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,33e6521013af26ae53d52c334c1e07c44b0e22927022d6bebaa1f05e1fb3eb74,1,11,4,1,1,1,U1-H2008P2CI256-P033-F009
LTMD_U1_W4_SOCIAL_SCIENCES_EXACT_REUSE_0.1,48c971d549981d8ad5605dc99108a929af0d819f0f514d52e465a6736a78aec0,3,22,4,4,3,2,U1-H1972P4CI078-P198-F001
