path,artifact_class,sha256,byte_size
.github/workflows/audit-ltmd-u1-w7-civics-ethics-assets.yml,automation,1c7c372b4aaff672654308f9e5fa753142f5f418310be27f2afe600e268b051d,3846
.github/workflows/audit-ltmd-u1-w9-architecture.yml,automation,230279a3fbf0fe40cfd851f2d1748d24ff0ce4ba3d6f71343c4069e1391476c3,2162
.github/workflows/audit-ltmd-u1-w9-assets.yml,automation,25750b988673e9ea1df7511f763bcea5ce97ddeb1dd2ff62249e75cff9f2f8af,3393
.github/workflows/audit-ltmd-u1-w9-source-admissibility.yml,automation,88c1a536265bd341ac295942ef66ba6db827e65b752000ede5ea169444bdd629,2545
.github/workflows/build-ltmd-u1-coverage-dashboard.yml,automation,91c8fa4059775e81b818afe49f24ac82cc70c448e4dfd6ab3a61c237f7fecc92,3474
.github/workflows/build-ltmd-u1-coverage.yml,automation,eb26a8fa767b44aad61691260083c28b5ebcdc329168c71e1abfba151a7f8b92,3398
.github/workflows/build-ltmd-u1-evidence-integrity.yml,automation,917fa99bc97fe30b2e769f6063f90d71e99fcc0503ac98b6d34d44f3427b4e9a,1869
.github/workflows/build-ltmd-u1-exception-triage.yml,automation,5e0a03424d91f98dc9abb2ba3664646e27bef301bf037eadf4cf5cea0630e6c7,1938
.github/workflows/build-ltmd-u1-preserved-exceptions-register.yml,automation,ff8eb9bf57f36406dfc4c174c14bf0f6001d820f66b55ac7165f39bb3489aef2,2374
.github/workflows/build-ltmd-u1-technical-closure-audit.yml,automation,d4176528d3715d08cb1ed74f6f36c13791e3b3520a7234735f1fae287a3b901a,2448
.github/workflows/build-ltmd-u1-w1-1966-fragseg.yml,automation,938f1a099b6add05f4be523f4f21c47b9746cc83a0680e3f160c5abd9cca2308,3082
.github/workflows/build-ltmd-u1-w1-1966-ocr.yml,automation,8e1bd26e8c8e65b9ad440befbb0f69e02e337dcdd557b1ab435fe4a2120f33ea,2548
.github/workflows/build-ltmd-u1-w1-1966-page-manifest.yml,automation,572cd4703d2e5f7a867e1e734897148c24260f633295530784cee36d91eaca36,1860
.github/workflows/build-ltmd-u1-w1-1966-pagestruct.yml,automation,3d36f5e5ffef59bc424c02eb85691a197268d4bd1573d91da501f427d67e8818,3304
.github/workflows/build-ltmd-u1-w1-2008-fragseg.yml,automation,56bf033113190fa5aff9fcec71d8b9af4ee6ba062ac2ca8735ed8477f16758a5,3066
.github/workflows/build-ltmd-u1-w1-2008-ocr.yml,automation,8901c2924000d67849d0c5b1d4ee6af8b9362ed2725d9dbb746c15816b732fcc,2532
.github/workflows/build-ltmd-u1-w1-2008-pagestruct.yml,automation,e174eaafd451154007ff156924de50f2ab517beacfb3a16382cfaae024103489,3252
.github/workflows/build-ltmd-u1-w1-2008-reconciled-manifest.yml,automation,2b676d38f34ab43ba19dcc8207325e9b26afcf91f2bcfc3880b8b80f3682b74b,1833
.github/workflows/build-ltmd-u1-w1-scope.yml,automation,3c5e445c70cc970d0a49496dcaa482dd1ece097ac5d8995151aee3e67a72b4b5,1271
.github/workflows/build-ltmd-u1-w10-architecture.yml,automation,390d6d61c689b6772d55a04b9dc7c48e2649327cdb20bf5ec446fe26eaa56f6b,2226
.github/workflows/build-ltmd-u1-w10-assets.yml,automation,5ba7f107aa339fa5e475ae953f4100421c11cfa5ed661737d7a1fec3981da330,3505
