inventory_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,source_url
LTMD_U1_W3_DECLARED_INVENTORY_0.1,H1960P2ES003,1960,2,MI CUADERNO DE TRABAJO Y ESCRITURA,H1960P2ES003,219,https://historico.conaliteg.gob.mx/H1960P2ES003.htm
LTMD_U1_W3_DECLARED_INVENTORY_0.1,H1960P3ES007,1960,3,MI LIBRO DE LENGUA NACIONAL,H1960P3ES007,131,https://historico.conaliteg.gob.mx/H1960P3ES007.htm
LTMD_U1_W3_DECLARED_INVENTORY_0.1,H1960P4ES013,1960,4,MI LIBRO DE LENGUA NACIONAL,H1960P4ES013,129,https://historico.conaliteg.gob.mx/H1960P4ES013.htm
LTMD_U1_W3_DECLARED_INVENTORY_0.1,H1966P1ES345,1966,1,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,H1966P1ES345,219,https://historico.conaliteg.gob.mx/H1966P1ES345.htm
LTMD_U1_W3_DECLARED_INVENTORY_0.1,H1966P2ES347,1966,2,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,H1966P2ES347,217,https://historico.conaliteg.gob.mx/H1966P2ES347.htm
LTMD_U1_W3_DECLARED_INVENTORY_0.1,H1966P3ES350,1966,3,MI LIBRO DE LENGUA NACIONAL,H1966P3ES350,131,https://historico.conaliteg.gob.mx/H1966P3ES350.htm
LTMD_U1_W3_DECLARED_INVENTORY_0.1,H1966P4ES358,1966,4,MI LIBRO DE LENGUA NACIONAL,H1966P4ES358,131,https://historico.conaliteg.gob.mx/H1966P4ES358.htm
LTMD_U1_W3_DECLARED_INVENTORY_0.1,H1966P5ES365,1966,5,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,H1966P5ES365,195,https://historico.conaliteg.gob.mx/H1966P5ES365.htm
LTMD_U1_W3_DECLARED_INVENTORY_0.1,H1966P5ES366,1966,5,MI LIBRO DE LENGUA NACIONAL,H1966P5ES366,211,https://historico.conaliteg.gob.mx/H1966P5ES366.htm
LTMD_U1_W3_DECLARED_INVENTORY_0.1,H1966P6ES376,1966,6,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL,H1966P6ES376,195,https://historico.conaliteg.gob.mx/H1966P6ES376.htm
