analysis_version,text_sha256,token_count,char_count,occurrence_count,viewer_count,catalog_generation_count,grade_count,first_fragment_id
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,5f69d4a93dd3a8abe119b2e765c439149dd474b19ced0a40b03e0f6ad7fa127d,8,48,24,5,3,2,U1-H2011P1CI294-P058-F007
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,7d5ec2a664f24ee24eb80edbd8132438ff4a2038eca62a6126c0a44b1b509448,2,16,24,13,4,6,U1-H2008P1CI250-P108-F013
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,eab02bf0d33041de2cd49b57dfc3b77352d738b52aec0bb28197bb9394d46fce,6,35,24,4,4,1,U1-H2008P3CI264-P015-F004
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,608535694c7f6ec4225d7d46d3c75bbc0dba5a6079d56141b1ba5b5ba0cc879f,1,4,23,10,4,6,U1-H2008P1CI250-P108-F002
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,88ccb24039f3ea346311c14002ae60fb8e7633702fda39b65246ed886e4f2d24,7,27,23,2,2,1,U1-H2014P6FCA-P022-F004
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,ee61119e262a936e520078a6bb8f63c1d8f38bb448a666f73752c1fabce94e19,2,10,23,5,4,3,U1-H2008P1CI250-P027-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,4fac00aef42dc1c0af98d8aef975a3c87573c07522a3ab7ed215f913ba32be0e,9,39,22,7,2,6,U1-H2008P1CI250-P027-F020
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,6ce012fd1056714b493ab0a7b473923e52b597bdb7cde60a0d97ef6f54e60c4d,1,2,22,16,4,6,U1-H2008P4CI269-P013-F020
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd,1,1,21,13,4,5,U1-H2008P1CI250-P019-F021
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,3b505399fcb0c3199e679d192e44bca9d8b50939872e31348cd8216ff56ca270,1,11,19,7,3,4,U1-H2011P3CI308-P111-F008
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,4f23cd35b79b7e9dc512a0fceede56db713d043f7b00f8f4756d7f167bad7db7,8,44,19,4,2,2,U1-H2014P3FCA-P027-F004
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,60ab428c6431bb17fc62f2b7c48f86328884d740b29983e33f7656211019d493,3,18,19,2,2,1,U1-H2014P6FCA-P118-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,7ee4f6ee79393b70c381dc705c15dca4cc70dcf28bb168db4033204ecf9100e9,4,17,19,4,1,4,U1-H2008P1CI251-P019-F005
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,9b3e24941f5fa23f78e24904877e1ccdafa48bebfacf507d07fef18040203330,1,4,19,2,2,1,U1-H2008P6CI286-P073-F014
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,ce344a418127968f2bd07ada86c8cf3808eea524c399a02c0c2c0ebbe0f5467c,1,2,19,15,4,6,U1-H2008P1CI250-P034-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,eda3742931a35e55a3dd1b85c31fde8c4f40140c7c0f254ea5d8a1033cf2f5fb,10,42,19,4,2,2,U1-H2014P3FCA-P027-F015
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,7748422171e15989ae359cdf8dadd89305ef3e71031231c8d33881ca9ec18d2c,1,2,18,5,2,4,U1-H2011P4CI315-P125-F002
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,9da315c60eefa23c4e43f7be27420b6e3ae8288eb32cece416638f175ae48542,3,19,18,9,4,4,U1-H2008P2CI257-P025-F003
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,ca978112ca1bbdcafac231b39a23dc4da786eff8147c4e72b9807785afee48bb,1,1,18,14,4,6,U1-H2008P2CI257-P071-F047
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,e3b7e7a038be142c2a042fc1f7374d00fe4caaf7b6b65a3175e33d11644b7499,1,3,18,14,4,6,U1-H2008P4CI269-P013-F022
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,48d7fb9d743e39eee0ce9f3a82b5b0ddf2c5ca8c448688e357fdb730dd50b859,1,8,17,13,4,6,U1-H2008P1CI250-P109-F010
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,67ca32501cc8ae57b89c3e2b32909cf0542a929bfd1dcd59c9a39ab5ba79d606,4,15,17,2,2,1,U1-H2014P4FCA-P027-F021
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,cc23c813e4c573e7bb1398160e38e00ee41901dbd110e5ed0add129f018ec6b8,9,48,17,5,2,5,U1-H2008P1CI250-P027-F005
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,4cf84b6773ff10fb3798851676f2063586fe0ac8d86c655302e9aafc4843a827,1,10,16,6,3,4,U1-H2011P3CI308-P111-F011
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,6b0bdd620538e2cca80bea99c47fcb06784d14d67a266dc6a038045ef3aaa08c,3,17,16,1,1,1,U1-H2019P5FCA-P172-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,bbd8adbfd515e796dd82a147856cbde5bd785ffe6a5bc41d0daa23916fe933d3,2,14,16,6,3,2,U1-H2011P1CI294-P148-F001
LTMD_U1_W7_CIVICS_ETHICS_EXACT_REUSE_0.1,367b32fb97b6af2d51eeec8b8cf9253f89489a70b77b272fc8e1384a0ff63839,6,41,15,10,4,3,U1-H2008P3CI264-P024-F012
