book_id,page_id,observed_fragment_count,max_sequence,missing_sequence_slots,missing_slot_count
LTMD-CN3-G2008,LTMD-CN3-G2008-VP069,14,16,2 3,2
LTMD-CN3-G2008,LTMD-CN3-G2008-VP096,22,23,5,1
LTMD-CN3-G2008,LTMD-CN3-G2008-VP174,4,5,4,1
LTMD-CN4-G2008,LTMD-CN4-G2008-VP118,13,14,5,1
LTMD-CN4-G2008,LTMD-CN4-G2008-VP122,16,17,10,1
LTMD-CN4-G2008,LTMD-CN4-G2008-VP169,22,23,8,1
