classifier_version,viewer_key,n_pages,textual,mixed_text_image,visual_only,front_matter,toc_or_navigation,bibliography_or_credits,unknown
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P1CAM,114,0,8,55,0,4,3,44
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3AGS,161,114,24,2,0,9,7,5
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3BCN,161,100,38,5,0,10,5,3
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3BCS,161,123,17,1,0,12,8,0
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3CAM,161,133,13,1,0,10,4,0
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3CDM,161,131,13,2,0,5,7,3
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3CHH,161,94,50,3,0,9,5,0
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3CHP,161,108,30,5,0,12,3,3
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3COA,161,120,22,5,0,5,6,3
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3DUR,161,124,23,2,0,5,5,2
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3GRO,161,122,27,1,0,5,5,1
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3GTO,161,131,11,1,0,9,7,2
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3HID,161,107,38,1,0,7,6,2
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3JAL,161,95,43,7,0,8,4,4
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3MEX,161,131,13,1,0,10,5,1
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3MIC,161,112,32,2,0,8,5,2
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3NAY,161,95,42,5,0,13,3,3
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3NLE,161,94,51,3,0,3,6,4
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3OAX,161,114,30,4,0,8,3,2
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3PUE,161,94,30,13,0,9,7,8
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3QRO,161,121,18,3,0,13,3,3
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3QUE,161,113,28,2,0,6,7,5
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3SIN,161,94,42,12,0,0,7,6
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3SLP,161,121,22,6,0,5,3,4
PAGESTRUCT_LTMD_U1_W11_0.1,H2014P3SON,161,100,28,13,0,7,8,5
