manifest_version,viewer_key,catalog_generation,grade_code,title_core,processing_mode,viewer_page,source_image_index,source_asset_url,byte_size,sha256,asset_status,page_numbering_policy,source_provenance
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,15,15,https://historico.conaliteg.gob.mx/c/H2008P1CI250/015.jpg,295580,7a0c4d9287ec9d5c2276a3ca842a7ec032a02fd30a07aa14c753187e853df608,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,16,16,https://historico.conaliteg.gob.mx/c/H2008P1CI250/016.jpg,400770,f67e5df3ccbadd7ec2366c6636e2c03cb0e0d71a5cb813496cc27dd3e05081c7,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,17,17,https://historico.conaliteg.gob.mx/c/H2008P1CI250/017.jpg,352890,9c3cbb35c5cc09de47e9fc797b0d65054922cee3cb69da406c468b702a01d8fa,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,18,18,https://historico.conaliteg.gob.mx/c/H2008P1CI250/018.jpg,334565,8ef772856279f4e62a3e03eb5c14ae8e70bcb52492fe35d9b12a9bab199b4c60,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,19,19,https://historico.conaliteg.gob.mx/c/H2008P1CI250/019.jpg,368789,e3a9ce8a70398ff11e43c01f1a1f8d02220a77d616d67e844ffabbd474b83cd9,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,20,20,https://historico.conaliteg.gob.mx/c/H2008P1CI250/020.jpg,343527,dcb35f10aaa0c3af15071a6707500469937d545ccdc7f30dafe3edf4917389f6,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,21,21,https://historico.conaliteg.gob.mx/c/H2008P1CI250/021.jpg,309466,71aa53af4107bbb732131b8def520cf6abc2257f7f911a049e8a934be82d399c,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,22,22,https://historico.conaliteg.gob.mx/c/H2008P1CI250/022.jpg,533737,eb544fc8d5051cb0fcff11a0f489811bffb7cdc5204cd77ca87be105379f6109,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,23,23,https://historico.conaliteg.gob.mx/c/H2008P1CI250/023.jpg,559282,1274827c2ebc9be8270cbb3062b5041ac12d65097dac04ebe93ab2f32d60e75e,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
LTMD_U1_W7_CANONICAL_PAGE_MANIFEST_0.1,H2008P1CI250,2008,1,FORMACIÓN CÍVICA Y ÉTICA,direct_canonical,24,24,https://historico.conaliteg.gob.mx/c/H2008P1CI250/024.jpg,448190,747d2c33c3a51ff83f15fa0379da6c3a3c139a051ef608b8cf740542ddfffc14,source_jpeg,preserve_original_viewer_page_no_renumbering,W7_civics_ethics_asset_manifest_source_jpeg
