audit_version,snapshot_version,viewer_key,catalog_generation,grade_code,tail_code,occurrences,source_url,http_status,content_type,final_url,viewer_title,reachable,title_present,error
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1960P4GE015,1960,4,GE015,1,https://historico.conaliteg.gob.mx/H1960P4GE015.htm,200,text/html,https://historico.conaliteg.gob.mx/H1960P4GE015.htm,MI CUADERNO DE TRABAJO DE GEOGRAFÍA Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1960P4GE016,1960,4,GE016,1,https://historico.conaliteg.gob.mx/H1960P4GE016.htm,200,text/html,https://historico.conaliteg.gob.mx/H1960P4GE016.htm,MI LIBRO DE GEOGRAFÍA Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1960P4HI017,1960,4,HI017,1,https://historico.conaliteg.gob.mx/H1960P4HI017.htm,200,text/html,https://historico.conaliteg.gob.mx/H1960P4HI017.htm,MI LIBRO DE HISTORIA Y CIVISMO Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1960P4MA018,1960,4,MA018,1,https://historico.conaliteg.gob.mx/H1960P4MA018.htm,200,text/html,https://historico.conaliteg.gob.mx/H1960P4MA018.htm,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA. Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1960P4MA019,1960,4,MA019,1,https://historico.conaliteg.gob.mx/H1960P4MA019.htm,200,text/html,https://historico.conaliteg.gob.mx/H1960P4MA019.htm,MI LIBRO. SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA. Grado 4° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1960P5MA020,1960,5,MA020,1,https://historico.conaliteg.gob.mx/H1960P5MA020.htm,200,text/html,https://historico.conaliteg.gob.mx/H1960P5MA020.htm,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE , ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA. Grado 5° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.",1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1960P5MA021,1960,5,MA021,1,https://historico.conaliteg.gob.mx/H1960P5MA021.htm,200,text/html,https://historico.conaliteg.gob.mx/H1960P5MA021.htm,"MI LIBRO, SEGUNDA PARTE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA. Grado 5° Generación 1960 .: Comisión Nacional de Libros de Texto Gratuitos :.",1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P1ES345,1966,1,ES345,1,https://historico.conaliteg.gob.mx/H1966P1ES345.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P1ES345.htm,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL Grado 1° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P1ES346,1966,1,ES346,1,https://historico.conaliteg.gob.mx/H1966P1ES346.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P1ES346.htm,MI LIBRO DE 1er AÑO Grado 1° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
CONALITEG_TITLE_AUDIT_0.2,CONALITEG_KEY_SNAPSHOT_0.1,H1966P2ES347,1966,2,ES347,1,https://historico.conaliteg.gob.mx/H1966P2ES347.htm,200,text/html,https://historico.conaliteg.gob.mx/H1966P2ES347.htm,MI CUADERNO DE TRABAJO DE LENGUA NACIONAL Grado 2° Generación 1966 .: Comisión Nacional de Libros de Texto Gratuitos :.,1,1,
