config_audit_version,viewer_key,catalog_generation,grade_code,title_core,config_entry_present,ag_clave,ag_pages,official_config_ready,source_url
LTMD_U1_W11_NONSTANDARD_CONFIG_0.1,H1993P4CI192,1993,4,Conoce nuestra constitución,1,H1993P4CI192,67,1,https://historico.conaliteg.gob.mx/H1993P4CI192.htm
LTMD_U1_W11_NONSTANDARD_CONFIG_0.1,H2008P4CI270,2008,4,CONOCE NUESTRA CONSTITUCIÓN,1,H2008P4CI270,67,1,https://historico.conaliteg.gob.mx/H2008P4CI270.htm
LTMD_U1_W11_NONSTANDARD_CONFIG_0.1,H2011P4CI316,2011,4,CONOCE NUESTRA CONSTITICIÓN,1,H2011P4CI316,66,1,https://historico.conaliteg.gob.mx/H2011P4CI316.htm
LTMD_U1_W11_NONSTANDARD_CONFIG_0.1,H2014P1CAM,2014,1,"Material de apoyo a la alfabetización inicial, Tiras recortables y cartel con el alfabeto",1,H2014P1CAM,115,1,https://historico.conaliteg.gob.mx/H2014P1CAM.htm
LTMD_U1_W11_NONSTANDARD_CONFIG_0.1,H2014P1EAM,2014,1,Fichero didactico (incluye DVD),1,H2014P1EAM,49,1,https://historico.conaliteg.gob.mx/H2014P1EAM.htm
LTMD_U1_W11_NONSTANDARD_CONFIG_0.1,H2014P2EAM,2014,2,Fichero didactico (incluye DVD),1,H2014P2EAM,19,1,https://historico.conaliteg.gob.mx/H2014P2EAM.htm
LTMD_U1_W11_NONSTANDARD_CONFIG_0.1,H2014P4CCA,2014,4,Conoce nuestra Constitución,1,H2014P4CCA,66,1,https://historico.conaliteg.gob.mx/H2014P4CCA.htm
LTMD_U1_W11_NONSTANDARD_CONFIG_0.1,H2018P1CAM,2018,1,Material de apoyo a la alfabetización Inicial. Tiras recortables,1,H2018P1CAM,114,1,https://historico.conaliteg.gob.mx/H2018P1CAM.htm
LTMD_U1_W11_NONSTANDARD_CONFIG_0.1,H2018P4CCA,2018,4,Conoce Nuestra Constitución,1,H2018P4CCA,66,1,https://historico.conaliteg.gob.mx/H2018P4CCA.htm
LTMD_U1_W11_NONSTANDARD_CONFIG_0.1,H2019P1CAM,2019,1,Material de apoyo a la alfabetización Inicial. Tiras recortables. PrImer grado,1,H2019P1CAM,154,1,https://historico.conaliteg.gob.mx/H2019P1CAM.htm
LTMD_U1_W11_NONSTANDARD_CONFIG_0.1,H2019P4CCA,2019,4,Conoce nuestra Constitución,1,H2019P4CCA,66,1,https://historico.conaliteg.gob.mx/H2019P4CCA.htm
