inventory_version,routing_version,viewer_key,catalog_generation,grade_code,title_core,ag_clave,declared_positions,technical_route,source_url
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1982P2ES102,1982,2,MI LIBRO DE SEGUNDO,H1982P2ES102,83,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1982P2ES102.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1988P1ES108,1988,1,"MI LIBRO DE 1°, PARTE 1",H1988P1ES108,243,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1988P1ES108.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1988P1ES109,1988,1,"MI LIBRO DE 1°, PARTE 2",H1988P1ES109,243,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1988P1ES109.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1988P1ES110,1988,1,"MI LIBRO DE 1° RECORTABLE, PARTE 1",H1988P1ES110,131,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1988P1ES110.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1988P1ES111,1988,1,"MI LIBRO DE 1°, RECORTABLE PARTE 2",H1988P1ES111,115,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1988P1ES111.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1988P2CI112,1988,2,"MI LIBRO DE 2°, PARTE 2",H1988P2CI112,323,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1988P2CI112.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1988P2CI113,1988,2,MI LIBRO DE 2° PARTE 1,H1988P2CI113,321,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1988P2CI113.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P1LI140,1993,1,Libro Integrado,H1993P1LI140,179,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P1LI140.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P1LI141,1993,1,Libro Integrado recortable,H1993P1LI141,51,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P1LI141.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P2LI149,1993,2,Libro Integrado,H1993P2LI149,179,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P2LI149.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P2LI150,1993,2,Libro Integrado Recortable,H1993P2LI150,51,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P2LI150.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI215,1993,6,MONOGRAFÍA ESTATAL AGUASCALIENTES,H1993P6HI215,171,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI215.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI216,1993,6,MONOGRAFÍA ESTATAL BAJA CALIFORNIA,H1993P6HI216,211,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI216.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI217,1993,6,MONOGRAFÍA ESTATAL BAJA CALIFORNIA SUR,H1993P6HI217,251,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI217.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI218,1993,6,MONOGRAFÍA ESTATAL COAHUILA,H1993P6HI218,259,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI218.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI219,1993,6,MONOGRAFÍA ESTATAL COLIMA,H1993P6HI219,291,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI219.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI220,1993,6,MONOGRAFÍA ESTATAL CAMPECHE,H1993P6HI220,263,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI220.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI221,1993,6,MONOGRAFÍA ESTATAL CHIAPAS,H1993P6HI221,267,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI221.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI222,1993,6,MONOGRAFÍA ESTATAL CHIHUAHUA,H1993P6HI222,255,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI222.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI223,1993,6,MONOGRAFÍA ESTATAL DISTRITO FEDERAL,H1993P6HI223,283,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI223.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI224,1993,6,MONOGRAFÍA ESTATAL DURANGO,H1993P6HI224,267,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI224.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI225,1993,6,MONOGRAFÍA ESTATAL ESTADO DE MÉXICO,H1993P6HI225,283,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI225.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI226,1993,6,MONOGRAFÍA ESTATAL GUANAJUATO,H1993P6HI226,251,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI226.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI227,1993,6,MONOGRAFÍA ESTATAL GUERRERO,H1993P6HI227,283,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI227.htm
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P6HI228,1993,6,MONOGRAFÍA ESTATAL HIDALGO,H1993P6HI228,291,standard_dynamic_claves,https://historico.conaliteg.gob.mx/H1993P6HI228.htm
