topology_version,page_id,viewer_key,catalog_generation,grade_code,title_core,viewer_page,source_kind,source_asset_url,sha256,byte_size,original_source_asset_url,original_asset_status,recovery_reference_viewer_key
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE008:p0001,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,1,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H1960P3GE008/000.jpg,0eceae217c2a9ff660bd61aede1ce93e703ea353f7ef358f90e4efba92fc97a6,471170,https://historico.conaliteg.gob.mx/c/H1960P3GE008/000.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE008:p0002,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,2,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H1960P3GE008/002.jpg,896f3481230ac6385a15e932fe99d7260cc6febe547e2d9b9554f2de21d828c3,28026,https://historico.conaliteg.gob.mx/c/H1960P3GE008/002.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE008:p0003,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,3,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H1960P3GE008/003.jpg,ac1f01e140955bf77976c0a841b90084d0129a806a50198a3c9eb8e46befa876,29365,https://historico.conaliteg.gob.mx/c/H1960P3GE008/003.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE008:p0004,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,4,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H1960P3GE008/004.jpg,963cd6d8bdc56075a219a2ccfdd3fdf66b964d2adef2d6003321c006864365a6,80268,https://historico.conaliteg.gob.mx/c/H1960P3GE008/004.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE008:p0005,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,5,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H1960P3GE008/005.jpg,d4ed1aaa44b503c1f12397b013fe2ffb0f174b4f491f38e817ccf1a9b74e987d,69694,https://historico.conaliteg.gob.mx/c/H1960P3GE008/005.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE008:p0006,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,6,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H1960P3GE008/006.jpg,f76ae189102eb1cf80837c407539bacd0f2b6744d414242fbcf7054cc9872923,28149,https://historico.conaliteg.gob.mx/c/H1960P3GE008/006.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE008:p0007,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,7,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H1960P3GE008/007.jpg,31e37b4f807b9ac52c9f044e85e002e9a5aca726463264dc9700efda7e6dec13,57420,https://historico.conaliteg.gob.mx/c/H1960P3GE008/007.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE008:p0008,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,8,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H1960P3GE008/008.jpg,fe4d3b79c369691f7dd0b303d97226aa43b14a76087ea558bf056d931d32c906,54223,https://historico.conaliteg.gob.mx/c/H1960P3GE008/008.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE008:p0009,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,9,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H1960P3GE008/009.jpg,3bab3c11a15b05759b89adfe7cb8a9b5f7e3b69c30a925c21cd85c9e82aec471,61919,https://historico.conaliteg.gob.mx/c/H1960P3GE008/009.jpg,source_jpeg,
LTMD_U1_W6_GEOGRAPHY_ATLAS_TOPOLOGY_0.1,H1960P3GE008:p0010,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,10,direct_source_jpeg,https://historico.conaliteg.gob.mx/c/H1960P3GE008/010.jpg,c5d9fe6862d697eea5404376998b745bca89c2f2a2e186177e8da5811fbecae5,39377,https://historico.conaliteg.gob.mx/c/H1960P3GE008/010.jpg,source_jpeg,
