inventory_version,catalog_generation,viewer_count,declared_positions
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,1960,3,609
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,1966,2,390
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,1982,6,1136
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,1988,6,1376
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,1993,36,8708
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,2008,1,195
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,2011,6,644
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,2014,32,5142
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,2018,4,688
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,2019,4,688
LTMD_U1_W11_STANDARD_DECLARED_INVENTORY_0.1,ALL,100,19576
