state_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,declared_positions,source_jpegs,terminal_synthetic_candidates,internal_unserved,probe_errors,asset_state,next_action
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1972P6ES093,1972,6,ESPAÑOL LECTURAS,standard_x_js,H1972P6ES093,105,104,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1982P2ES100,1982,2,MI LIBRO LECTURAS,standard_x_js,H1982P2ES100,147,146,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1982P3ES104,1982,3,ESPAÑOL EJERCICIOS,standard_x_js,H1982P3ES104,211,210,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1982P3ES105,1982,3,ESPAÑOL LECTURAS,standard_x_js,H1982P3ES105,115,114,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1982P4ES385,1982,4,ESPAÑOL EJERCICIOS,standard_x_js,H1982P4ES385,227,226,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1982P4ES386,1982,4,ESPAÑOL LECTURAS,standard_x_js,H1982P4ES386,131,130,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1982P4ES387,1982,4,ESPAÑOL EJERCICIOS Y LECTURAS,standard_x_js,H1982P4ES387,323,322,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1982P5ES391,1982,5,ESPAÑOL EJERCICIOS,standard_x_js,H1982P5ES391,291,290,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1982P5ES392,1982,5,ESPAÑOL,standard_x_js,H1982P5ES392,291,290,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1982P5ES393,1982,5,ESPAÑOL LECTURAS,standard_x_js,H1982P5ES393,129,128,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1982P6ES397,1982,6,ESPAÑOL EJERCICIOS,standard_x_js,H1982P6ES397,179,178,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1982P6ES398,1982,6,ESPAÑOL LECTURAS,standard_x_js,H1982P6ES398,105,104,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1988P2ES114,1988,2,ESPAÑOL LECTURAS,standard_x_js,H1988P2ES114,145,144,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1988P3ES116,1988,3,ESPAÑOL EJERCICIOS,standard_x_js,H1988P3ES116,211,210,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1988P3ES117,1988,3,ESPAÑOL LECTURA,standard_x_js,H1988P3ES117,115,114,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1988P4ES121,1988,4,"ESPAÑOL, EJERCICIOS Y LECTURAS",standard_x_js,H1988P4ES121,321,320,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1988P5ES125,1988,5,ESPAÑOL EJERCICIOS,standard_x_js,H1988P5ES125,195,194,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1988P5ES126,1988,5,ESPAÑOL LECTURA,standard_x_js,H1988P5ES126,131,130,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1988P6ES131,1988,6,ESPAÑOL EJERCICIOS,standard_x_js,H1988P6ES131,239,238,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1988P6ES132,1988,6,ESPAN?OL LECTURAS,standard_x_js,H1988P6ES132,115,114,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P1ES135,1993,1,Español actividades,standard_x_js,H1993P1ES135,227,226,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P1ES136,1993,1,Español recortable,standard_x_js,H1993P1ES136,147,146,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P1ES137,1993,1,Español recortable,standard_x_js,H1993P1ES137,83,82,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P1ES138,1993,1,Español Lecturas,standard_x_js,H1993P1ES138,67,66,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P1ES139,1993,1,Español lecturas,horizontal_x_horizontal_js,H1993P1ES139,260,259,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P2ES144,1993,2,Español Actividades,standard_x_js,H1993P2ES144,203,202,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P2ES145,1993,2,Español Recortable,standard_x_js,H1993P2ES145,123,122,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P2ES146,1993,2,Español,standard_x_js,H1993P2ES146,227,226,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P2ES147,1993,2,Español Lecturas,horizontal_x_horizontal_js,H1993P2ES147,259,258,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P2ES148,1993,2,Español Lecturas,standard_x_js,H1993P2ES148,147,146,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P3ES154,1993,3,Español Actividades,standard_x_js,H1993P3ES154,211,210,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P3ES155,1993,3,Español Lecturas,standard_x_js,H1993P3ES155,115,114,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P3ES156,1993,3,Español Lecturas,standard_x_js,H1993P3ES156,227,226,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P3ES400,1993,3,Español,standard_x_js,H1993P3ES400,179,178,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P4ES193,1993,4,Español,standard_x_js,H1993P4ES193,239,237,1,1,0,partial_internal_unserved,cryptographic_recovery_or_exception
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P4ES194,1993,4,Español Lecturas,standard_x_js,H1993P4ES194,115,114,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P4ES195,1993,4,Español Lecturas,standard_x_js,H1993P4ES195,259,258,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P5ES201,1993,5,Español,standard_x_js,H1993P5ES201,211,210,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P5ES202,1993,5,Español Lecturas,standard_x_js,H1993P5ES202,131,130,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P6ES211,1993,6,Español,standard_x_js,H1993P6ES211,211,210,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H1993P6ES212,1993,6,Español Lecturas,standard_x_js,H1993P6ES212,115,114,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2008P1ES253,2008,1,ESPAÑOL 1er GRADO,standard_x_js,H2008P1ES253,147,146,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2008P1ES254,2008,1,ESPAÑOL RECORTABLE,standard_x_js,H2008P1ES254,35,34,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2008P2ES261,2008,2,ESPAÑOL,standard_x_js,H2008P2ES261,219,218,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2008P3ES265,2008,3,ESPAÑOL ACTIVIDADES,standard_x_js,H2008P3ES265,210,209,0,1,0,partial_internal_unserved,cryptographic_recovery_or_exception
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2008P3ES266,2008,3,ESPAÑOL LECTURAS,standard_x_js,H2008P3ES266,226,225,0,1,0,partial_internal_unserved,cryptographic_recovery_or_exception
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2008P4ES271,2008,4,ESPAÑOL ACTIVIDADES,standard_x_js,H2008P4ES271,239,237,1,1,0,partial_internal_unserved,cryptographic_recovery_or_exception
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2008P4ES272,2008,4,ESPAÑOL LECTURAS,standard_x_js,H2008P4ES272,257,255,0,2,0,partial_internal_unserved,cryptographic_recovery_or_exception
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2008P5ES281,2008,5,ESPAÑOL,standard_x_js,H2008P5ES281,187,186,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2008P6ES288,2008,6,ESPAÑOL,standard_x_js,H2008P6ES288,139,138,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P1ES297,2011,1,ESPAÑOL,standard_x_js,H2011P1ES297,194,193,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P1ES298,2011,1,ESPAÑOL LECTURAS,standard_x_js,H2011P1ES298,82,81,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P2ES304,2011,2,ESPAÑOL,standard_x_js,H2011P2ES304,218,217,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P2ES305,2011,2,ESPAÑOL LECTURAS,standard_x_js,H2011P2ES305,106,105,0,1,0,partial_internal_unserved,cryptographic_recovery_or_exception
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P3ES311,2011,3,ESPAÑOL,standard_x_js,H2011P3ES311,162,161,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P3ES312,2011,3,ESPAÑOL LECTURAS,standard_x_js,H2011P3ES312,146,145,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P4ES319,2011,4,ESPAÑOL,standard_x_js,H2011P4ES319,162,161,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P4ES320,2011,4,ESPAÑOL LECTURAS,standard_x_js,H2011P4ES320,186,185,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P5ES329,2011,5,ESPAÑOL,standard_x_js,H2011P5ES329,178,177,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
LTMD_U1_W3_SPANISH_ASSET_STATES_0.1,H2011P5ES330,2011,5,ESPAÑOL LECTURAS,standard_x_js,H2011P5ES330,186,185,1,0,0,full_direct,eligible_for_exact_alias_audit_then_reconciliation
