audit_version,grade,viewer_page,book_2018,viewer_key_2018,alias_content_key,alias_asset_url,book_2019,viewer_key_2019,reference_asset_url,reference_sha256,reference_byte_size,url_identity,observed_sha256,observed_byte_size,http_status,content_type,fetch_attempts,error,sha256_identity,byte_size_identity
CN2018_2019_ASSET_IDENTITY_0.1,4,129,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/129.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/129.jpg,2dc0c7fe7fd97917820bf5c479320c8bbc7f5a6ee1729ab435a75435d7b0731c,94503,1,2dc0c7fe7fd97917820bf5c479320c8bbc7f5a6ee1729ab435a75435d7b0731c,94503,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,130,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/130.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/130.jpg,04631be29f7e0b496a2c3d4b98151ca59999b79171d6c5de06c3ecec5efd4b46,119119,1,04631be29f7e0b496a2c3d4b98151ca59999b79171d6c5de06c3ecec5efd4b46,119119,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,131,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/131.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/131.jpg,26fc6d20dba969b66178be4ff8f89360df93081b701aeaf1c08cec534d9db7a2,172837,1,26fc6d20dba969b66178be4ff8f89360df93081b701aeaf1c08cec534d9db7a2,172837,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,132,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/132.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/132.jpg,6f26f06a2ac35059eaa784efc263e3d61080ee6a5e89df1e9e903eb30d2ff8de,201446,1,6f26f06a2ac35059eaa784efc263e3d61080ee6a5e89df1e9e903eb30d2ff8de,201446,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,133,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/133.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/133.jpg,cc5e981f3ce22e02dcdf6eade791ecf2e9b2a2831067ff2baf75ade8362aa7ad,153326,1,cc5e981f3ce22e02dcdf6eade791ecf2e9b2a2831067ff2baf75ade8362aa7ad,153326,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,134,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/134.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/134.jpg,9889d6f426bdded519dc03cce726762db2e38ec8de1e11c2c5859f6cf4c9ffa9,75437,1,9889d6f426bdded519dc03cce726762db2e38ec8de1e11c2c5859f6cf4c9ffa9,75437,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,135,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/135.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/135.jpg,d30b8831f1f21370e022d1e0f94494cc93da4d5ca0997282d9a47e85a41c21ce,117444,1,d30b8831f1f21370e022d1e0f94494cc93da4d5ca0997282d9a47e85a41c21ce,117444,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,136,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/136.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/136.jpg,e27a763e301b803361afaa5338d3c2da6bd8790c460e7d0d8d0055c546aa6142,101163,1,e27a763e301b803361afaa5338d3c2da6bd8790c460e7d0d8d0055c546aa6142,101163,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,137,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/137.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/137.jpg,8f321dfb8bd1a786316b8367ae3cc723c0553dbd672136ed8b09610b657598d4,104785,1,8f321dfb8bd1a786316b8367ae3cc723c0553dbd672136ed8b09610b657598d4,104785,200,image/jpeg,1,,1,1
CN2018_2019_ASSET_IDENTITY_0.1,4,138,LTMD-CN4-G2018,H2018P4CNA,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/138.jpg,LTMD-CN4-G2019,H2019P4CNA,https://historico.conaliteg.gob.mx/c/H2019P4CNA/138.jpg,b31d6489a30a7c6f3998311ec66004cd4a16d750c50a5b5534feed90886d1f36,170233,1,b31d6489a30a7c6f3998311ec66004cd4a16d750c50a5b5534feed90886d1f36,170233,200,image/jpeg,1,,1,1
