normalization_version,title_core,viewer_count,generation_count,generations
CONALITEG_TITLECORE_0.1,Chiapas. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Chihuahua. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Ciencias Naturales y desarrollo humano,1,1,1993
CONALITEG_TITLECORE_0.1,"CIENCIAS NATURALES, CIENCIAS SOCIALES",1,1,1972
CONALITEG_TITLECORE_0.1,CIENCIAS NATURALES-CIENCIAS SOCIALES,1,1,1972
CONALITEG_TITLECORE_0.1,Coahuila. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Colima. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,CONOCE NUESTRA CONSTITICIÓN,1,1,2011
CONALITEG_TITLECORE_0.1,Conoce nuestra constitución,1,1,1993
CONALITEG_TITLECORE_0.1,CONOCE NUESTRA CONSTITUCIÓN,1,1,2008
CONALITEG_TITLECORE_0.1,Conoce Nuestra Constitución,1,1,2018
CONALITEG_TITLECORE_0.1,Distrito Federal. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Durango. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,ESPAN?OL LECTURAS,1,1,1988
CONALITEG_TITLECORE_0.1,ESPAÑOL 1er GRADO,1,1,2008
CONALITEG_TITLECORE_0.1,Español actividades,1,1,1993
CONALITEG_TITLECORE_0.1,Español lecturas,1,1,1993
CONALITEG_TITLECORE_0.1,Español Recortable,1,1,1993
CONALITEG_TITLECORE_0.1,"ESPAÑOL, EJERCICIOS Y LECTURAS",1,1,1988
CONALITEG_TITLECORE_0.1,EXPLORACION DE LA NATURALEZA Y LA SOCIEDAD,1,1,2008
CONALITEG_TITLECORE_0.1,EXPLORACIOÓN DE NATURALEZA Y LA SOCIEDAD,1,1,2008
CONALITEG_TITLECORE_0.1,FORMACIÓN CÍVICA Y ÉTICA 2° GRADO,1,1,2011
CONALITEG_TITLECORE_0.1,Guanajuato. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Guerrero. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Hidalgo. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,Jalisco. Historia y Geografía,1,1,1993
CONALITEG_TITLECORE_0.1,La entidad donde vivo Aguascalientes,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Baja California Norte,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Baja California Sur,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Campeche,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Chiapas,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Chihuahua,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Ciudad de México,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Coahuila,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Colima,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Durango,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Guanajuato,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Guerrero,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Hidalgo,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Jalisco,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Michoacán,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Morelos,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo México,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Nayarit,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Nuevo León,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Oaxaca,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Puebla,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Querétaro,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Quintana Roo,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo San Luis Potosí,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Sinaloa,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Sonora,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Tabasco,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Tamaulipas,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Tlaxcala,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Veracruz,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Yucatán,1,1,2014
CONALITEG_TITLECORE_0.1,La entidad donde vivo Zacatecas,1,1,2014
CONALITEG_TITLECORE_0.1,Libro Integrado recortable,1,1,1993
CONALITEG_TITLECORE_0.1,Libro Integrado Recortable,1,1,1993
CONALITEG_TITLECORE_0.1,MATEMATICAS CUADERNO DE TRABAJO PARA EL ALUMNO,1,1,2008
CONALITEG_TITLECORE_0.1,MATEMAÁTICAS,1,1,2008
CONALITEG_TITLECORE_0.1,MATEMÁTICAS CUADERNO DE TRABAJO,1,1,2008
CONALITEG_TITLECORE_0.1,Matemáticas Recortable,1,1,1993
CONALITEG_TITLECORE_0.1,Matemáticas recortable,1,1,1993
CONALITEG_TITLECORE_0.1,"Material de apoyo a la alfabetización inicial, Tiras recortables y cartel con el alfabeto",1,1,2014
CONALITEG_TITLECORE_0.1,Material de apoyo a la alfabetización Inicial. Tiras recortables,1,1,2018
CONALITEG_TITLECORE_0.1,Material de apoyo a la alfabetización Inicial. Tiras recortables. PrImer grado,1,1,2019
CONALITEG_TITLECORE_0.1,MI CUADERNO DE TRABAJO DE 1ER AÑO,1,1,1960
CONALITEG_TITLECORE_0.1,MI CUADERNO DE TRABAJO DE ARITMÉTICA Y GEOMETRÍA,1,1,1966
CONALITEG_TITLECORE_0.1,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,1,1,1966
CONALITEG_TITLECORE_0.1,MI CUADERNO DE TRABAJO GEOGRAFÍA,1,1,1960
CONALITEG_TITLECORE_0.1,MI CUADERNO DE TRABAJO Y ESCRITURA,1,1,1960
CONALITEG_TITLECORE_0.1,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",1,1,1960
CONALITEG_TITLECORE_0.1,"MI CUADERNO DE TRABAJO, PRIMERA PARTE. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO",1,1,1960
CONALITEG_TITLECORE_0.1,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE , ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",1,1,1960
CONALITEG_TITLECORE_0.1,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",1,1,1960
CONALITEG_TITLECORE_0.1,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA,1,1,1966
CONALITEG_TITLECORE_0.1,MI CUADERNO DE TRABAJO. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO,1,1,1960
CONALITEG_TITLECORE_0.1,MI LIBRO DE 1ER AÑO,1,1,1960
CONALITEG_TITLECORE_0.1,MI LIBRO DE 1er AÑO,1,1,1966
CONALITEG_TITLECORE_0.1,"MI LIBRO DE 1° RECORTABLE, PARTE 1",1,1,1988
CONALITEG_TITLECORE_0.1,"MI LIBRO DE 1°, PARTE 1",1,1,1988
CONALITEG_TITLECORE_0.1,"MI LIBRO DE 1°, PARTE 2",1,1,1988
CONALITEG_TITLECORE_0.1,"MI LIBRO DE 1°, RECORTABLE PARTE 2",1,1,1988
CONALITEG_TITLECORE_0.1,MI LIBRO DE 2° PARTE 1,1,1,1988
CONALITEG_TITLECORE_0.1,"MI LIBRO DE 2°, PARTE 2",1,1,1988
CONALITEG_TITLECORE_0.1,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA,1,1,1966
CONALITEG_TITLECORE_0.1,MI LIBRO DE ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,1,1,1966
CONALITEG_TITLECORE_0.1,MI LIBRO DE ESTUDIO DE LA NATURALEZA,1,1,1966
CONALITEG_TITLECORE_0.1,MI LIBRO DE SEGUNDO,1,1,1982
CONALITEG_TITLECORE_0.1,MI LIBRO LECTURAS,1,1,1982
CONALITEG_TITLECORE_0.1,MI LIBRO PARTE 1,1,1,1982
CONALITEG_TITLECORE_0.1,MI LIBRO RECORTABLE PARTE 1,1,1,1982
