audit_version,viewer_key,catalog_generation,grade_code,title_core,viewer_ui,ag_clave,viewer_page,declared_positions,source_image_index,source_asset_url,is_final_declared_position,probe_state,http_status,content_type,byte_size,sha256,attempts,error,asset_status
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,20,115,20,https://historico.conaliteg.gob.mx/c/H2008P1ED252/020.jpg,0,served_image,200,image/jpeg,280018,6e491d24f3ca8de774c53b5b3a9e550cc9a5ca435bbb28daae752723bf60043f,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,21,115,21,https://historico.conaliteg.gob.mx/c/H2008P1ED252/021.jpg,0,served_image,200,image/jpeg,260138,428d0ff41f2392fd6efcb8e6c42c3f141c4c588611d9c5dad7cef6be96cc8ade,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,22,115,22,https://historico.conaliteg.gob.mx/c/H2008P1ED252/022.jpg,0,served_image,200,image/jpeg,279806,d91b815b5ed85acd4749eeb49ac892331750a2494d6cceafbb8bbe58eaca9577,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,23,115,23,https://historico.conaliteg.gob.mx/c/H2008P1ED252/023.jpg,0,served_image,200,image/jpeg,336841,f0a70c5dbd4842ad0933fbb6966b654f1f8b559be996d09b7a55c3790590d836,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,24,115,24,https://historico.conaliteg.gob.mx/c/H2008P1ED252/024.jpg,0,served_image,200,image/jpeg,248462,508b222b2cbd18bbc7c99e977910966ac7aae10f5717d0d50e0e62ac55c9a036,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,25,115,25,https://historico.conaliteg.gob.mx/c/H2008P1ED252/025.jpg,0,served_image,200,image/jpeg,236591,18ba41d6c9fc9331004a9abaefa8b35b24eb35f88c58916d687ea04178ef9292,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,26,115,26,https://historico.conaliteg.gob.mx/c/H2008P1ED252/026.jpg,0,served_image,200,image/jpeg,289870,2c99ace4d573b22b87eac938fe086bfbd1b5eecc1f5f756eb74a1ce5cfaabcff,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,27,115,27,https://historico.conaliteg.gob.mx/c/H2008P1ED252/027.jpg,0,served_image,200,image/jpeg,265406,954ab5b9f264cce65f4fdd46b0d8f0b1297350866c88442a8eba1f47475e0c93,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,28,115,28,https://historico.conaliteg.gob.mx/c/H2008P1ED252/028.jpg,0,served_image,200,image/jpeg,278845,c089352f314497b73b6d20a8851bc7855d92f41982ad0c1a890d343eaf997b63,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,29,115,29,https://historico.conaliteg.gob.mx/c/H2008P1ED252/029.jpg,0,served_image,200,image/jpeg,266638,c542546252d133dd0338a5c45361a376c86b705df262625ddfb61f2ad803e9c7,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,30,115,30,https://historico.conaliteg.gob.mx/c/H2008P1ED252/030.jpg,0,served_image,200,image/jpeg,240757,a167c5daeb82d018bbc7ca429900e0df7f7ab6d23b6eca12636808517ca34ae3,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,31,115,31,https://historico.conaliteg.gob.mx/c/H2008P1ED252/031.jpg,0,served_image,200,image/jpeg,276480,2c78afdd7bc3781a759c0733f88cc51eea7a9ed7c6e7424a38a58cf0a8d3cca8,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,32,115,32,https://historico.conaliteg.gob.mx/c/H2008P1ED252/032.jpg,0,served_image,200,image/jpeg,309052,0424e6f4a666b1a6e5d0836d0ffc33e118c62169e9100734f540abae6ff26fd3,1,,source_jpeg
LTMD_U1_W9_EDUCACION_FISICA_ASSET_AUDIT_0.1,H2008P1ED252,2008,1,EDUCACION FISICA,standard_x_js,H2008P1ED252,33,115,33,https://historico.conaliteg.gob.mx/c/H2008P1ED252/033.jpg,0,served_image,200,image/jpeg,288069,5556886ad31693deeb174c2dabb9559957cbeae5af1b867c2251148026a212ac,1,,source_jpeg
