page_id,viewer_key,catalog_generation,grade,title_core,viewer_page,selected_psm,recognized_words,mean_word_confidence,low_confidence_word_rate,ocr_class,front_matter_score,toc_navigation_score,bibliography_credits_score,primary_structure,classification_certainty,classification_rule,evidence_flags,classifier_version
U1-H2008P1ED252-P023,H2008P1ED252,2008,1,EDUCACION FISICA,23,3,121,94.68,0.0165,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P024,H2008P1ED252,2008,1,EDUCACION FISICA,24,3,28,84.70,0.1429,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P025,H2008P1ED252,2008,1,EDUCACION FISICA,25,3,61,94.28,0.0328,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P026,H2008P1ED252,2008,1,EDUCACION FISICA,26,3,87,88.43,0.0805,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P027,H2008P1ED252,2008,1,EDUCACION FISICA,27,3,48,85.27,0.1458,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P028,H2008P1ED252,2008,1,EDUCACION FISICA,28,3,77,82.21,0.2078,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P029,H2008P1ED252,2008,1,EDUCACION FISICA,29,3,43,89.50,0.1163,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P030,H2008P1ED252,2008,1,EDUCACION FISICA,30,3,31,91.09,0.0645,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P031,H2008P1ED252,2008,1,EDUCACION FISICA,31,3,99,91.88,0.0505,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P032,H2008P1ED252,2008,1,EDUCACION FISICA,32,3,6,21.58,1.0000,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P033,H2008P1ED252,2008,1,EDUCACION FISICA,33,3,49,82.91,0.1837,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P034,H2008P1ED252,2008,1,EDUCACION FISICA,34,3,61,87.12,0.1148,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P035,H2008P1ED252,2008,1,EDUCACION FISICA,35,3,80,92.67,0.0375,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P036,H2008P1ED252,2008,1,EDUCACION FISICA,36,3,130,94.46,0.0308,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P037,H2008P1ED252,2008,1,EDUCACION FISICA,37,3,36,86.29,0.0833,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P038,H2008P1ED252,2008,1,EDUCACION FISICA,38,3,60,80.59,0.2000,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P039,H2008P1ED252,2008,1,EDUCACION FISICA,39,3,17,95.82,0.0000,text_detected,,,,mixed_text_image,low,OCR_SPARSE_HIGH_CONF,,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P040,H2008P1ED252,2008,1,EDUCACION FISICA,40,3,48,87.35,0.1250,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P041,H2008P1ED252,2008,1,EDUCACION FISICA,41,3,72,94.46,0.0278,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P042,H2008P1ED252,2008,1,EDUCACION FISICA,42,3,81,86.55,0.1358,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P043,H2008P1ED252,2008,1,EDUCACION FISICA,43,3,53,93.79,0.0189,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P044,H2008P1ED252,2008,1,EDUCACION FISICA,44,3,72,92.30,0.0556,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P045,H2008P1ED252,2008,1,EDUCACION FISICA,45,3,53,94.76,0.0189,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P046,H2008P1ED252,2008,1,EDUCACION FISICA,46,3,70,88.50,0.1000,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P047,H2008P1ED252,2008,1,EDUCACION FISICA,47,3,58,95.74,0.0172,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P048,H2008P1ED252,2008,1,EDUCACION FISICA,48,3,101,91.04,0.0693,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P049,H2008P1ED252,2008,1,EDUCACION FISICA,49,3,135,94.05,0.0296,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P050,H2008P1ED252,2008,1,EDUCACION FISICA,50,6,24,30.40,0.8750,text_detected,,,,visual_only,high,OCR_VISUAL_NOISE,fallback_psm;visual_noise,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P051,H2008P1ED252,2008,1,EDUCACION FISICA,51,3,44,95.80,0.0000,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P052,H2008P1ED252,2008,1,EDUCACION FISICA,52,3,9,58.11,0.5556,text_detected,,,,unknown,low,CONSERVATIVE_UNKNOWN,,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P053,H2008P1ED252,2008,1,EDUCACION FISICA,53,3,32,74.81,0.3125,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P054,H2008P1ED252,2008,1,EDUCACION FISICA,54,3,28,76.96,0.2143,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P055,H2008P1ED252,2008,1,EDUCACION FISICA,55,3,31,94.56,0.0323,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P056,H2008P1ED252,2008,1,EDUCACION FISICA,56,3,220,94.16,0.0182,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P057,H2008P1ED252,2008,1,EDUCACION FISICA,57,3,45,95.02,0.0000,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P058,H2008P1ED252,2008,1,EDUCACION FISICA,58,3,67,82.37,0.1940,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P059,H2008P1ED252,2008,1,EDUCACION FISICA,59,3,58,93.58,0.0345,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P060,H2008P1ED252,2008,1,EDUCACION FISICA,60,3,145,91.61,0.0759,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P061,H2008P1ED252,2008,1,EDUCACION FISICA,61,3,51,94.96,0.0196,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P062,H2008P1ED252,2008,1,EDUCACION FISICA,62,3,97,91.41,0.0619,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P063,H2008P1ED252,2008,1,EDUCACION FISICA,63,3,85,69.32,0.3529,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P064,H2008P1ED252,2008,1,EDUCACION FISICA,64,3,90,90.41,0.0667,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P065,H2008P1ED252,2008,1,EDUCACION FISICA,65,3,96,94.66,0.0208,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P066,H2008P1ED252,2008,1,EDUCACION FISICA,66,3,101,92.09,0.0594,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P067,H2008P1ED252,2008,1,EDUCACION FISICA,67,3,110,93.48,0.0273,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P068,H2008P1ED252,2008,1,EDUCACION FISICA,68,3,1,26.82,1.0000,text_detected,,,,visual_only,medium,OCR_VISUAL_NOISE,visual_noise,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P069,H2008P1ED252,2008,1,EDUCACION FISICA,69,3,30,94.99,0.0333,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P070,H2008P1ED252,2008,1,EDUCACION FISICA,70,3,134,88.04,0.1194,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P071,H2008P1ED252,2008,1,EDUCACION FISICA,71,3,30,89.75,0.0667,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P072,H2008P1ED252,2008,1,EDUCACION FISICA,72,3,124,84.69,0.1694,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P073,H2008P1ED252,2008,1,EDUCACION FISICA,73,3,56,94.08,0.0536,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P074,H2008P1ED252,2008,1,EDUCACION FISICA,74,3,113,89.39,0.0885,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P075,H2008P1ED252,2008,1,EDUCACION FISICA,75,3,141,93.86,0.0284,text_detected,,,,textual,high,OCR_TEXT_RICH,text_rich,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P076,H2008P1ED252,2008,1,EDUCACION FISICA,76,3,110,86.49,0.1273,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P077,H2008P1ED252,2008,1,EDUCACION FISICA,77,3,84,94.36,0.0119,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P078,H2008P1ED252,2008,1,EDUCACION FISICA,78,3,72,86.09,0.1389,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
U1-H2008P1ED252-P079,H2008P1ED252,2008,1,EDUCACION FISICA,79,3,58,82.47,0.1552,text_detected,,,,mixed_text_image,medium,OCR_MODERATE_TEXT,text_present,PAGESTRUCT_LTMD_U1_W9_EDUCACION_FISICA_0.1
