analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2019P4EAA,H2019P6EAA,2019,2019,4,6,1,0,829,756,27,0.017330,0.032569,0.035714
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P3EAA,H2019P4EAA,2014,2019,3,4,0,0,850,829,27,0.016344,0.031765,0.032569
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P5ED327,H2014P3EAA,2011,2014,5,3,0,0,947,850,27,0.015254,0.028511,0.031765
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2019P3EAA,H2019P6EAA,2019,2019,3,6,1,0,861,756,26,0.016342,0.030197,0.034392
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P5EAA,H2019P4EAA,2014,2019,5,4,0,0,886,829,26,0.015394,0.029345,0.031363
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P3ED309,H2014P4EAA,2011,2014,3,4,0,0,864,860,26,0.015312,0.030093,0.030233
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P3ED309,H2011P6CI337,2011,2011,3,6,1,0,864,942,26,0.014607,0.030093,0.027601
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P4ED317,H2011P6CI337,2011,2011,4,6,1,0,865,942,26,0.014599,0.030058,0.027601
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P6EAA,H2019P3EAA,2014,2019,6,3,0,0,780,861,25,0.015470,0.032051,0.029036
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P5ED327,H2014P6EAA,2011,2014,5,6,0,0,947,780,25,0.014689,0.026399,0.032051
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P5ED327,H2011P6CI337,2011,2011,5,6,1,0,947,942,23,0.012326,0.024287,0.024416
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P4EAA,H2019P6EAA,2014,2019,4,6,0,0,860,756,22,0.013802,0.025581,0.029101
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P2ED259,H2011P3ED309,2008,2011,2,3,0,0,755,864,22,0.013776,0.029139,0.025463
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P5EAA,H2019P6EAA,2014,2019,5,6,0,0,886,756,22,0.013580,0.024831,0.029101
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P5EAA,H2019P3EAA,2014,2019,5,3,0,0,886,861,22,0.012754,0.024831,0.025552
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P6CI337,H2014P3EAA,2011,2014,6,3,0,0,942,850,22,0.012429,0.023355,0.025882
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P6CI337,H2014P4EAA,2011,2014,6,4,0,0,942,860,22,0.012360,0.023355,0.025581
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P5ED279,H2014P4EAA,2008,2014,5,4,0,0,1036,860,22,0.011740,0.021236,0.025581
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P5ED279,H2011P6CI337,2008,2011,5,6,0,0,1036,942,22,0.011247,0.021236,0.023355
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2014P3EAA,H2019P6EAA,2014,2019,3,6,0,0,850,756,20,0.012610,0.023529,0.026455
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P2ED259,H2011P4ED317,2008,2011,2,4,0,0,755,865,20,0.012500,0.026490,0.023121
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P4ED317,H2014P3EAA,2011,2014,4,3,0,0,865,850,20,0.011799,0.023121,0.023529
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P5ED279,H2014P6EAA,2008,2014,5,6,0,0,1036,780,20,0.011136,0.019305,0.025641
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P3ED309,H2014P6EAA,2011,2014,3,6,0,0,864,780,19,0.011692,0.021991,0.024359
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P3ED309,H2014P5EAA,2011,2014,3,5,0,0,864,886,19,0.010976,0.021991,0.021445
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P5ED327,H2019P4EAA,2011,2019,5,4,0,0,947,829,19,0.010814,0.020063,0.022919
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P5ED279,H2014P3EAA,2008,2014,5,3,0,0,1036,850,19,0.010177,0.018340,0.022353
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P2ED259,H2011P2ED302,2008,2011,2,2,0,1,755,662,18,0.012866,0.023841,0.027190
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2011P4ED317,2011,2011,2,4,1,0,662,865,18,0.011928,0.027190,0.020809
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P4ED317,H2014P6EAA,2011,2014,4,6,0,0,865,780,18,0.011063,0.020809,0.023077
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P2ED259,H2011P5ED327,2008,2011,2,5,0,0,755,947,18,0.010689,0.023841,0.019007
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P5ED327,H2019P3EAA,2011,2019,5,3,0,0,947,861,18,0.010056,0.019007,0.020906
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2019P5EAA,2011,2019,2,5,0,0,662,823,17,0.011580,0.025680,0.020656
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2011P6CI337,2011,2011,2,6,1,0,662,942,17,0.010712,0.025680,0.018047
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P4ED317,H2014P5EAA,2011,2014,4,5,0,0,865,886,17,0.009804,0.019653,0.019187
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P6CI337,H2019P5EAA,2011,2019,6,5,0,0,942,823,17,0.009725,0.018047,0.020656
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2014P4EAA,2011,2014,2,4,0,0,662,860,16,0.010624,0.024169,0.018605
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2019P3EAA,2011,2019,2,3,0,0,662,861,16,0.010617,0.024169,0.018583
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2011P3ED309,2011,2011,2,3,1,0,662,864,16,0.010596,0.024169,0.018519
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2011P5ED327,2011,2011,2,5,1,0,662,947,16,0.010044,0.024169,0.016895
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P6CI337,H2019P4EAA,2011,2019,6,4,0,0,942,829,16,0.009117,0.016985,0.019300
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P6CI337,H2019P3EAA,2011,2019,6,3,0,0,942,861,16,0.008954,0.016985,0.018583
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2014P3EAA,2011,2014,2,3,0,0,662,850,15,0.010020,0.022659,0.017647
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P3ED309,H2019P4EAA,2011,2019,3,4,0,0,864,829,15,0.008939,0.017361,0.018094
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P5ED327,H2019P6EAA,2011,2019,5,6,0,0,947,756,15,0.008886,0.015839,0.019841
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P6CI337,H2014P5EAA,2011,2014,6,5,0,0,942,886,15,0.008274,0.015924,0.016930
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2014P6EAA,2011,2014,2,6,0,0,662,780,14,0.009804,0.021148,0.017949
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P2ED259,H2014P3EAA,2008,2014,2,3,0,0,755,850,14,0.008799,0.018543,0.016471
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P4ED317,H2019P3EAA,2011,2019,4,3,0,0,865,861,14,0.008178,0.016185,0.016260
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P5ED279,H2019P6EAA,2008,2019,5,6,0,0,1036,756,14,0.007874,0.013514,0.018519
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P1ED295,H2011P3ED309,2011,2011,1,3,1,0,531,864,13,0.009407,0.024482,0.015046
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2019P6EAA,2011,2019,2,6,0,0,662,756,13,0.009253,0.019637,0.017196
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P2ED259,H2019P3EAA,2008,2019,2,3,0,0,755,861,13,0.008110,0.017219,0.015099
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P3ED309,H2019P6EAA,2011,2019,3,6,0,0,864,756,13,0.008090,0.015046,0.017196
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P3ED309,H2019P5EAA,2011,2019,3,5,0,0,864,823,13,0.007766,0.015046,0.015796
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P4ED317,H2019P5EAA,2011,2019,4,5,0,0,865,823,13,0.007761,0.015029,0.015796
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P5ED279,H2011P2ED302,2008,2011,5,2,0,0,1036,662,13,0.007715,0.012548,0.019637
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P1ED295,H2019P5EAA,2011,2019,1,5,0,0,531,823,12,0.008942,0.022599,0.014581
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P1ED295,H2014P3EAA,2011,2014,1,3,0,0,531,850,12,0.008766,0.022599,0.014118
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P1ED295,H2019P3EAA,2011,2019,1,3,0,0,531,861,12,0.008696,0.022599,0.013937
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P1ED295,H2011P6CI337,2011,2011,1,6,1,0,531,942,12,0.008214,0.022599,0.012739
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P1ED295,H2011P5ED327,2011,2011,1,5,1,0,531,947,12,0.008186,0.022599,0.012672
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2019P4EAA,2011,2019,2,4,0,0,662,829,12,0.008114,0.018127,0.014475
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2011P2ED302,H2014P5EAA,2011,2014,2,5,0,0,662,886,12,0.007812,0.018127,0.013544
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P2ED259,H2011P6CI337,2008,2011,2,6,0,0,755,942,12,0.007122,0.015894,0.012739
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P5ED279,H2019P4EAA,2008,2019,5,4,0,0,1036,829,12,0.006476,0.011583,0.014475
LTMD_U1_W8_ARTES_EXACT_REUSE_0.1,H2008P2ED259,H2014P4EAA,2008,2014,2,4,0,0,755,860,11,0.006858,0.014570,0.012791
