source_object_id,viewer_key,asset_url,observed_at,expected_bytes,bytes_received,size_matches,http_status,content_type,sha256,pdf_signature,eof_marker,startxref_in_tail,source_admission_state,page_count,source_pdf_persisted,ocr_available_state,text_verified_state
CONALITEG:2026:primaria:P2PCA,P2PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2PCA.pdf,2026-09-02,23676560,23676560,True,200,application/pdf,4a835f6ce4e1140b2054d52370c1147994d729059c72a5eb18e93f19e2ceb20a,True,True,True,admitted_full_body_verified,283,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P2PEA,P2PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2PEA.pdf,2026-09-02,24758812,24758812,True,200,application/pdf,9769c82d202a623db19f1e6d955ee7a2c282c671294ddb57821313ae748fbf49,True,True,True,admitted_full_body_verified,275,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P2SDA,P2SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2SDA.pdf,2026-09-02,50173805,50173805,True,200,application/pdf,5c1a0862e75e3701bf333cbd8746382f3f69fd02cb1183c2d72049936f69c858,True,True,True,admitted_full_body_verified,259,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P2TNA,P2TNA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2TNA.pdf,2026-09-02,9757352,9757352,True,200,application/pdf,1cb835df7064ddffc65d126f104c68d9e7c9ba3ec87df4bb4dd7b59d40208d37,True,True,True,admitted_full_body_verified,147,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P2TPA,P2TPA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P2TPA.pdf,2026-09-02,19992326,19992326,True,200,application/pdf,bc40da3fa5fb5f5b44db42ba9ac2a0182fdff8be5e583d8c3524ed71b7fe97f9,True,True,True,admitted_full_body_verified,115,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P3LPM,P3LPM,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3LPM.pdf,2026-09-02,13389200,13389200,True,200,application/pdf,e6121a66deadbd655a89938e27a28e034452645df0beeb9706a80dc246cb7cf2,True,True,True,admitted_full_body_verified,99,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P3MLA,P3MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3MLA.pdf,2026-09-02,99997628,99997628,True,200,application/pdf,673915e6945216ec86e212752c3eb56645ffc7ed8ac54d007cee1551d55f706e,True,True,True,admitted_full_body_verified,259,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P3PAA,P3PAA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3PAA.pdf,2026-09-02,83295272,83295272,True,200,application/pdf,3e0a486e8cccc9dbdf0f9873e07a54711013f03b674ebeb89160b6afc3196999,True,True,True,admitted_full_body_verified,363,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P3PCA,P3PCA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3PCA.pdf,2026-09-02,58450470,58450470,True,200,application/pdf,f2e2b5372aaa28acf0b3b86410c42d15894dfd2dbb4768ebc5ffc464b6b6ffad,True,True,True,admitted_full_body_verified,363,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P3PEA,P3PEA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3PEA.pdf,2026-09-02,73948335,73948335,True,200,application/pdf,59703f7424a0db7f64db2b1c4bbd348f43c402ba1c0873887e4d9de44fe5592b,True,True,True,admitted_full_body_verified,363,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P3SDA,P3SDA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P3SDA.pdf,2026-09-02,78379105,78379105,True,200,application/pdf,7b92b2580d5bbfea97b33be8e7e2223f6e3433bfd455731807e589583a1200b9,True,True,True,admitted_full_body_verified,259,False,not_assessed,not_assessed
CONALITEG:2026:primaria:P4MLA,P4MLA,https://libros.conaliteg.gob.mx/pdf-reader/assets/primaria/2026/P4MLA.pdf,2026-09-02,50561618,50561618,True,200,application/pdf,1a35c88d05c3d3feef05f32cbdedc32f3a906dfbfbcb3a9af63d511c8cfa0e7f,True,True,True,admitted_full_body_verified,259,False,not_assessed,not_assessed
