manifest_version,page_id,book_id,viewer_key,catalog_generation,grade_code,title_core,viewer_page,declared_page_count,source_image_index,source_asset_url,is_final_declared_position,position_ratio,position_quartile,asset_status,reachable_image,http_status,content_type,byte_size,sha256,fetch_attempts,error
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP014,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,14,179,14,https://historico.conaliteg.gob.mx/c/H1966P6CI374/014.jpg,0,0.078212,Q1,source_jpeg,1,200,image/jpeg,54648,77f5bea6816f0510ce365aff2b402e49c4c580dc6a981ac84c77c8e409abd9c0,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP015,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,15,179,15,https://historico.conaliteg.gob.mx/c/H1966P6CI374/015.jpg,0,0.083799,Q1,source_jpeg,1,200,image/jpeg,53780,f2b753a31b4ed5d812f8cca6251f95e194fd3310b3541d3e4d337ab97f3f37d8,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP016,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,16,179,16,https://historico.conaliteg.gob.mx/c/H1966P6CI374/016.jpg,0,0.089385,Q1,source_jpeg,1,200,image/jpeg,61102,b2d9a2940eb739018062e150260f15f807247e6df946a1bf6c8f2851cd0dd795,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP017,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,17,179,17,https://historico.conaliteg.gob.mx/c/H1966P6CI374/017.jpg,0,0.094972,Q1,source_jpeg,1,200,image/jpeg,46840,214e66605f8a6ca508bd9e6985206b0476c2a5d73a948cd66460befb32a4b3a9,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP018,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,18,179,18,https://historico.conaliteg.gob.mx/c/H1966P6CI374/018.jpg,0,0.100559,Q1,source_jpeg,1,200,image/jpeg,63585,65bbe82b077ca8509e1bd959b3f00a12c9ea5d295a9046698e95c146854c4d68,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP019,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,19,179,19,https://historico.conaliteg.gob.mx/c/H1966P6CI374/019.jpg,0,0.106145,Q1,source_jpeg,1,200,image/jpeg,54311,893ccab4b26e894bb4e938a97d4c2595c1c41ed580386e70bcbdbe74df30d4ac,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP020,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,20,179,20,https://historico.conaliteg.gob.mx/c/H1966P6CI374/020.jpg,0,0.111732,Q1,source_jpeg,1,200,image/jpeg,57232,8e486a63e23561869ddd1aff380681139e5d97e11e1c0ded708268d4f166d7fa,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP021,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,21,179,21,https://historico.conaliteg.gob.mx/c/H1966P6CI374/021.jpg,0,0.117318,Q1,source_jpeg,1,200,image/jpeg,58790,1091acf37b08008cbe38fb9ad1a92e67aabadf0e8328653967d2f9266637c747,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP022,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,22,179,22,https://historico.conaliteg.gob.mx/c/H1966P6CI374/022.jpg,0,0.122905,Q1,source_jpeg,1,200,image/jpeg,50069,5973ad836fce4fa6f7e879f85033a1a2123c71bc06db880809bd18b8265778ec,1,
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374-VP023,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,23,179,23,https://historico.conaliteg.gob.mx/c/H1966P6CI374/023.jpg,0,0.128492,Q1,source_jpeg,1,200,image/jpeg,58669,e30e39d5182d67e8a74492a8d6c01ef5967ab904185c3a9528cee78df34165c7,1,
