admissibility_version,viewer_key,catalog_generation,grade_code,title_core,identity_reconciliation_state,source_admissible,source_status,source_reason,source_ready,relation_type,canonical_processing_viewer_key,is_canonical_processing_object,declared_positions,canonical_source_pages,persistent_unresolved_source_gaps,alias_state,text_verified,semantic_ready,source_url
LTMD_U1_W10_SOURCE_PROBE_0.1,H1960P2MA005,1960,2,"MI CUADERNO DE TRABAJO, ARITMÉTICA Y GEOMETRÍA",exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; official dynamic architecture/configuration; served JPEG sequence has no internal gaps or probe errors,full,direct_canonical,H1960P2MA005,1,115,114,0,no_alias,0,0,https://historico.conaliteg.gob.mx/H1960P2MA005.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1960P3ES006,1960,3,MI CUADERNO DE TRABAJO. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; official dynamic architecture/configuration; served JPEG sequence has no internal gaps or probe errors,full,direct_canonical,H1960P3ES006,1,211,210,0,no_alias,0,0,https://historico.conaliteg.gob.mx/H1960P3ES006.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1960P3HI010,1960,3,MI LIBRO DE HISTORIA Y CIVISMO,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; official dynamic architecture/configuration; served JPEG sequence has no internal gaps or probe errors,full,direct_canonical,H1960P3HI010,1,131,130,0,no_alias,0,0,https://historico.conaliteg.gob.mx/H1960P3HI010.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1960P3MA011,1960,3,"MI LIBRO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; official dynamic architecture/configuration; served JPEG sequence has no internal gaps or probe errors,full,direct_canonical,H1960P3MA011,1,195,194,0,no_alias,0,0,https://historico.conaliteg.gob.mx/H1960P3MA011.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1960P3MA012,1960,3,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; official dynamic architecture/configuration; served JPEG sequence has no internal gaps or probe errors,full,direct_canonical,H1960P3MA012,1,219,218,0,no_alias,0,0,https://historico.conaliteg.gob.mx/H1960P3MA012.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1960P4ES014,1960,4,"MI CUADERNO DE TRABAJO, PRIMERA PARTE. LENGUA NACIONAL Y ESCRITURA. HISTORIA Y CIVISMO",exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; official dynamic architecture/configuration; served JPEG sequence has no internal gaps or probe errors,full,direct_canonical,H1960P4ES014,1,235,234,0,no_alias,0,0,https://historico.conaliteg.gob.mx/H1960P4ES014.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1960P4HI017,1960,4,MI LIBRO DE HISTORIA Y CIVISMO,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; official dynamic architecture/configuration; served JPEG sequence has no internal gaps or probe errors,full,direct_canonical,H1960P4HI017,1,195,194,0,no_alias,0,0,https://historico.conaliteg.gob.mx/H1960P4HI017.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1960P4MA018,1960,4,MI CUADERNO DE TRABAJO. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; official dynamic architecture/configuration; served JPEG sequence has no internal gaps or probe errors,full,direct_canonical,H1960P4MA018,1,155,154,0,no_alias,0,0,https://historico.conaliteg.gob.mx/H1960P4MA018.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1960P4MA019,1960,4,MI LIBRO. SEGUNDA PARTE. ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA,exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; official dynamic architecture/configuration; served JPEG sequence has no internal gaps or probe errors,full,direct_canonical,H1960P4MA019,1,211,210,0,no_alias,0,0,https://historico.conaliteg.gob.mx/H1960P4MA019.htm
LTMD_U1_W10_SOURCE_PROBE_0.1,H1960P5MA020,1960,5,"MI CUADERNO DE TRABAJO, SEGUNDA PARTE , ARITMÉTICA Y GEOMETRÍA. ESTUDIO DE LA NATURALEZA",exact_1_to_1,1,SOURCE_ADMISSIBLE,exact_1_to_1; official dynamic architecture/configuration; served JPEG sequence has no internal gaps or probe errors,full,direct_canonical,H1960P5MA020,1,259,258,0,no_alias,0,0,https://historico.conaliteg.gob.mx/H1960P5MA020.htm
