analysis_version,viewer_a,viewer_b,generation_a,generation_b,grade_a,grade_b,same_generation,same_grade,unique_units_a,unique_units_b,shared_unique_units,jaccard,containment_a_in_b,containment_b_in_a
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P3ES350,H1966P4ES358,1966,1966,3,4,1,0,1496,1221,97,0.037023,0.064840,0.079443
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES365,H1972P2ES068,1966,1972,5,2,0,0,2486,1934,97,0.022438,0.039019,0.050155
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2008P5ES281,H2019P5ESA,2008,2019,5,5,0,1,2448,2213,97,0.021253,0.039624,0.043832
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES365,H1966P6ES377,1966,1966,5,6,1,0,2486,2296,94,0.020051,0.037812,0.040941
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P6ES377,H1972P5ES086,1966,1972,6,5,0,0,2296,3121,93,0.017468,0.040505,0.029798
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES365,H2018P1ESM,1966,2018,5,1,0,0,2486,4315,93,0.013864,0.037409,0.021553
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P2ES066,H2018P1ESM,1972,2018,2,1,0,0,1750,4315,92,0.015403,0.052571,0.021321
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES366,H1972P2ES066,1966,1972,5,2,0,0,2059,1750,91,0.024476,0.044196,0.052000
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P1ES297,H2011P2ES304,2011,2011,1,2,1,0,1752,2070,91,0.024390,0.051941,0.043961
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P2ES066,H1972P3ES073,1972,1972,2,3,1,0,1750,2194,91,0.023618,0.052000,0.041477
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES365,H1972P2ES066,1966,1972,5,2,0,0,2486,1750,91,0.021954,0.036605,0.052000
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P6ES377,H1972P3ES075,1966,1972,6,3,0,0,2296,3146,91,0.017006,0.039634,0.028926
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P2ES066,H2019P1ESM,1972,2019,2,1,0,0,1750,4285,91,0.015310,0.052000,0.021237
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES365,H2019P1ESM,1966,2019,5,1,0,0,2486,4285,91,0.013623,0.036605,0.021237
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P2ES068,H2018P2ESM,1972,2018,2,2,0,1,1934,3753,90,0.016080,0.046536,0.023981
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P6ES377,H1972P2ES068,1966,1972,6,2,0,0,2296,1934,89,0.021492,0.038763,0.046019
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1960P2ES003,H1966P6ES377,1960,1966,2,6,0,0,1700,2296,88,0.022518,0.051765,0.038328
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P2ES068,H2019P2ESM,1972,2019,2,2,0,1,1934,3723,88,0.015802,0.045502,0.023637
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1960P2ES003,H1972P2ES066,1960,1972,2,2,0,1,1700,1750,87,0.025870,0.051176,0.049714
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1960P2ES003,H1966P5ES366,1960,1966,2,5,0,0,1700,2059,87,0.023693,0.051176,0.042254
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P2ES347,H1966P6ES377,1966,1966,2,6,1,0,1653,2296,86,0.022262,0.052027,0.037456
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P4ES320,H2011P5ES330,2011,2011,4,5,1,0,1991,2459,86,0.019707,0.043194,0.034974
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES366,H1972P5ES086,1966,1972,5,5,0,1,2059,3121,86,0.016883,0.041768,0.027555
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P3ES075,H1988P5ES125,1972,1988,3,5,0,0,3146,2159,86,0.016478,0.027336,0.039833
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES365,H1972P5ES086,1966,1972,5,5,0,1,2486,3121,86,0.015577,0.034594,0.027555
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P6ES377,H2018P1ESM,1966,2018,6,1,0,0,2296,4315,86,0.013180,0.037456,0.019930
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P3ES350,H1972P2ES068,1966,1972,3,2,0,0,1496,1934,85,0.025411,0.056818,0.043950
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES365,H1972P3ES073,1966,1972,5,3,0,0,2486,2194,85,0.018498,0.034191,0.038742
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES366,H1972P5ES087,1966,1972,5,5,0,1,2059,3120,85,0.016686,0.041282,0.027244
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P2ES148,H2018P2LEA,1993,2018,2,2,0,1,989,849,84,0.047891,0.084934,0.098940
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P3ES073,H2019P1ESM,1972,2019,3,1,0,0,2194,4285,84,0.013135,0.038286,0.019603
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P3ES075,H2018P1ESM,1972,2018,3,1,0,0,3146,4315,84,0.011387,0.026701,0.019467
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1993P2ES148,H2019P2LEA,1993,2019,2,2,0,1,989,878,83,0.046525,0.083923,0.094533
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P2ES347,H1966P5ES366,1966,1966,2,5,1,0,1653,2059,83,0.022871,0.050212,0.040311
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P3ES073,H1988P5ES125,1972,1988,3,5,0,0,2194,2159,83,0.019438,0.037830,0.038444
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES365,H1972P5ES087,1966,1972,5,5,0,1,2486,3120,83,0.015028,0.033387,0.026603
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P3ES073,H2018P1ESM,1972,2018,3,1,0,0,2194,4315,83,0.012916,0.037830,0.019235
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P3ES075,H2019P1ESM,1972,2019,3,1,0,0,3146,4285,83,0.011296,0.026383,0.019370
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P6ES377,H1988P5ES125,1966,1988,6,5,0,0,2296,2159,82,0.018751,0.035714,0.037981
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P6ES377,H1972P3ES073,1966,1972,6,3,0,0,2296,2194,82,0.018603,0.035714,0.037375
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P2ES066,H2018P2ESM,1972,2018,2,2,0,1,1750,3753,82,0.015126,0.046857,0.021849
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P6ES377,H2019P1ESM,1966,2019,6,1,0,0,2296,4285,82,0.012617,0.035714,0.019137
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P5ES087,H2019P1ESM,1972,2019,5,1,0,0,3120,4285,82,0.011198,0.026282,0.019137
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P5ES086,H2019P1ESM,1972,2019,5,1,0,0,3121,4285,82,0.011196,0.026274,0.019137
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P2ES347,H1972P2ES066,1966,1972,2,2,0,1,1653,1750,81,0.024383,0.049002,0.046286
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P6ES377,H2014P2ESM,1966,2014,6,2,0,0,2296,3310,81,0.014661,0.035279,0.024471
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P5ES365,H2018P2ESM,1966,2018,5,2,0,0,2486,3753,81,0.013154,0.032582,0.021583
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P5ES086,H2018P1ESM,1972,2018,5,1,0,0,3121,4315,81,0.011013,0.025953,0.018772
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P4ES358,H1966P6ES377,1966,1966,4,6,1,0,1221,2296,80,0.023276,0.065520,0.034843
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1966P3ES350,H1966P5ES365,1966,1966,3,5,1,0,1496,2486,80,0.020502,0.053476,0.032180
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H2011P5ES330,H2011P6ES340,2011,2011,5,6,1,0,2459,2527,80,0.016307,0.032534,0.031658
LTMD_U1_W3_SPANISH_EXACT_REUSE_0.1,H1972P2ES066,H2019P2ESM,1972,2019,2,2,0,1,1750,3723,80,0.014834,0.045714,0.021488
