probe_version,viewer_key,catalog_generation,grade_code,viewer_page,source_image_index,source_sha256,source_byte_size,sha_verified,psm_modes,cycle_candidates_psm3,cycle_candidates_psm6,cycle_candidates_psm11,strong_cycle_candidates,strong_cycle_support,bibliographic_marker_lines
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P2CI258,2008,2,16,16,8ec539e33b8f9b13500c4cd9eb7a1e4f283dca74cbef6490b82f3a10146156d6,49346,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P2CI258,2008,2,17,17,fe4151ac7f752d6e8c5e1c0f055e23b606873d7670ef90cb78285557ef72d9fd,45082,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P2CI258,2008,2,18,18,7a1903c31acdf1843950b200802611d2b49e7060dc89265615405abdc2886105,47696,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P2CI258,2008,2,19,19,831ed1a74e94af2ccc147d3d4b11fe8f85cdb52c7ff39e2affd50e0859945394,46352,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P2CI258,2008,2,20,20,81e7149f6fde240b84909a28e24f8802282087580fb2a9d183c9e4e834e22c4e,68433,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P3CI264,2008,3,13,13,4133020022e1ad6e2bd660e1c707bfcecade3708458104811767679650654762,56090,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P3CI264,2008,3,14,14,6e00e6368ab3715a82e55195b7ed954c58daa2ab460f462768fb9073d06daeb3,73111,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P3CI264,2008,3,15,15,01ba42d715eff4385255c848d5e6e0bd20229c0a1633a9e1661b1e142f89ef4c,100565,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P3CI264,2008,3,16,16,f493c60549676fef60ec8b39208d7b39ab4837ff7d6a69183abd50cf3ee2637a,69467,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P3CI264,2008,3,17,17,590fe47833f34603caf27df06880e0c144d5f2bb69390eebfd69aa538195a599,73324,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P3CI264,2008,3,18,18,a54da17b7a2d160cce6098c552572d804428284feb6627d9bb43b30ba60e3af4,61303,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P3CI264,2008,3,19,19,22e373cd1bf5f29f80f4dca3efd0b3a4855186aae1d0cc9763b2f425995916ad,79384,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P3CI264,2008,3,20,20,48ae1dcb8691884cc2992e3be69b7499a5ed588090e5efee8d1de1c439f903de,80647,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P4CI269,2008,4,13,13,1ceeade875b19e25c9a8170f0e972ac17102a64ca9bea800dad1f2208b590eda,86849,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P4CI269,2008,4,14,14,ba8dbc8f6ac3e47955db9b45f6bcca292c52326d87f0d990e666d0b6586160c8,85307,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P4CI269,2008,4,15,15,3e83dd927a6cda5b4d53dd764e8de2b1bb5ed4f8955c131f0a5c2313cd334c34,87162,1,3;6;11,,,,,,
LTMD_U1_W7_MISSING_CYCLE_WINDOW_13_20_0.1,H2008P4CI269,2008,4,16,16,2dcb7cdc116e914ea133988b4b67e592b01c82f05f6ebfedd0a89ceb690004c5,71459,1,3;6;11,,,,,,
