record_type,audit_version,viewer_key,candidate_label,candidate_base,official_ag_pages,official_json_path,viewer_page,source_image_index,historical_asset_status,historical_url,probe_url,http_status,content_type,byte_size,jpeg_magic,historical_sha256,observed_sha256,sha256_match,query_state,capture_count,error
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,23,23,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/023.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/023.jpg,200,image/jpeg,110068,1,e834238c7bf1f4bb6e64c56ff9b6263493613b017ac91a62aeb37fe8c7cc64eb,780401138902be1a37cd952dd99977aead1b566cff14b5e2f494efe123932e32,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,24,24,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/024.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/024.jpg,200,image/jpeg,109638,1,7bb12c6c739245dc743e2626d150ed82f8773377b3024dbc2c033c777193e021,53a22b11204a4b10cd9737fac924d5edb0c598c6b6470330bf993599618a7922,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,25,25,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/025.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/025.jpg,200,image/jpeg,92528,1,6b5ffbabee0930ec122fa32e3929b3f62e31b5ac0ee98b45037418ffbd63d37e,6e3450c31f20ca5993de31bc38bd79b86b011c82cb9bfd0fb12dabf6113e0c08,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,26,26,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/026.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/026.jpg,200,image/jpeg,94797,1,2ec4247a954d9c88aad167437be88b341a424a4afedd19c9ba44f99ca80491aa,6360e8212954e6ef63670076e2c6ecc4a98c906919dcd3154d1dc815707076aa,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,27,27,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/027.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/027.jpg,200,image/jpeg,109007,1,525a7c8290655a8b782e4445656d94ab305d54d392768e3f483b245abf7c24ef,1539cfe813d50b02d1717ea7b159e4064bd9295e1b1306359b2ef05692963003,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,28,28,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/028.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/028.jpg,200,image/jpeg,122318,1,807907f28cd89db4ba55bacffd31d5a7e09323bf799d41faa4132cdcb9262654,650eae5f70124ab1e6b7c001f4ec861cda7cf8db31fd503d2acecd257ba02db1,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,29,29,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/029.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/029.jpg,200,image/jpeg,68431,1,8d755ab95fa867ebbf08320ba9ca428897e52a72af771fd60c5c556b96e10099,e9a2a359749f7a296947e919fdf5a928f19dd5c625e3f61807ceffa4bf547317,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,31,31,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/031.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/031.jpg,200,image/jpeg,82112,1,37db17ccef19db08e8fc67da0a555adbc15c05951b87e18cc29b0576c64a54b6,fb34948d984c2b162ae5ec15fb4e2ed3ba2499568cb9924811e343d12445cf98,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,30,30,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/030.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/030.jpg,200,image/jpeg,149170,1,9090302161f6b6399c6e6d2f84351a21feb2dad34be7d2763f253d6b88f89928,40e1567988c49d8733abf5c0c4aa1b0a05967752d932db627a0af2bcc1d46324,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,32,32,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/032.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/032.jpg,200,image/jpeg,108859,1,183902ea8e0038b5733a0f4b7c268156722a2294f57ab7c1fc4fcb8c09c8c9c3,2920dd20fed001dbb07904cd3de0b1a16bc900d469747696252c302122eb170f,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,33,33,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/033.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/033.jpg,200,image/jpeg,128127,1,08e1ba248fef142a5a8863532959ad7e1aacaf6c820579d5417f149bc1e91720,0d63a5899a9dcf28e7206fff68c9b06646d52b02b4bf08be8159553ad9a91a81,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,35,35,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/035.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/035.jpg,200,image/jpeg,93582,1,df60af6986d8cdf39dd35409e201f4e5188d85deb5ac24ff97775fbf99326f63,37c74d578388644b4ee25f26fa84b18b7a688c34a5c384097319bd9c071b27db,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,36,36,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/036.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/036.jpg,200,image/jpeg,105062,1,d2c75ffa9b100e0fd8fb2ab461fd3b0fbf8f7d144c197569fa395603f933259f,c6107e4d8c417aef7e0da821c2465f5908f9dbdcab019382c8d4d30e1b255426,0,,,
official_position,LTMD_U1_W7_H2014P5FCA_RECOVERY_AUDIT_0.1,H2014P5FCA,20,https://libros.conaliteg.gob.mx/20/c/P5FCA/,170,20/P5FCA,34,34,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P5FCA/034.jpg,https://libros.conaliteg.gob.mx/20/c/P5FCA/034.jpg,200,image/jpeg,105716,1,9ffb08f801597788430a557a8dd0a2fc3eb31c05321024c70d7c5fee996424dd,ddad341bb2d10212b57684a5532ce3bb978ce4c64b8f91c83a1ad045ad739785,0,,,
