snapshot_version,viewer_key,catalog_generation,grade_code,tail_code,occurrences
CONALITEG_KEY_SNAPSHOT_0.1,H1960P1ES001,1960,1,ES001,2
CONALITEG_KEY_SNAPSHOT_0.1,H1960P1ES002,1960,1,ES002,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P2ES003,1960,2,ES003,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P2ES004,1960,2,ES004,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P2MA005,1960,2,MA005,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P3ES006,1960,3,ES006,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P3ES007,1960,3,ES007,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P3GE008,1960,3,GE008,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P3GE009,1960,3,GE009,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P3HI010,1960,3,HI010,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P3MA011,1960,3,MA011,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P3MA012,1960,3,MA012,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P4ES013,1960,4,ES013,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P4ES014,1960,4,ES014,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P4GE015,1960,4,GE015,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P4GE016,1960,4,GE016,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P4HI017,1960,4,HI017,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P4MA018,1960,4,MA018,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P4MA019,1960,4,MA019,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P5MA020,1960,5,MA020,1
CONALITEG_KEY_SNAPSHOT_0.1,H1960P5MA021,1960,5,MA021,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P1ES345,1966,1,ES345,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P1ES346,1966,1,ES346,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P2ES347,1966,2,ES347,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P2ES348,1966,2,ES348,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P2MA349,1966,2,MA349,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P3ES350,1966,3,ES350,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P3ES351,1966,3,ES351,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P3GE352,1966,3,GE352,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P3GE353,1966,3,GE353,1
