snapshot_version,viewer_key,catalog_generation,grade_code,tail_code,occurrences
CONALITEG_KEY_SNAPSHOT_0.1,H1966P3HI354,1966,3,HI354,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P3MA355,1966,3,MA355,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P3MA356,1966,3,MA356,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P3MA357,1966,3,MA357,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P4ES358,1966,4,ES358,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P4ES359,1966,4,ES359,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P4GE360,1966,4,GE360,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P4GE364,1966,4,GE364,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P4HI361,1966,4,HI361,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P4MA362,1966,4,MA362,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P4MA363,1966,4,MA363,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P5ES365,1966,5,ES365,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P5ES366,1966,5,ES366,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P5GE367,1966,5,GE367,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P5GE368,1966,5,GE368,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P5HI369,1966,5,HI369,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P5HI370,1966,5,HI370,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P5MA371,1966,5,MA371,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P5MA372,1966,5,MA372,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P5MA373,1966,5,MA373,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P6CI374,1966,6,CI374,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P6CI375,1966,6,CI375,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P6ES376,1966,6,ES376,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P6ES377,1966,6,ES377,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P6GE378,1966,6,GE378,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P6HI379,1966,6,HI379,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P6HI380,1966,6,HI380,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P6MA381,1966,6,MA381,1
CONALITEG_KEY_SNAPSHOT_0.1,H1966P6MA382,1966,6,MA382,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P1CI058,1972,1,CI058,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P1CI059,1972,1,CI059,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P1CI060,1972,1,CI060,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P1ES061,1972,1,ES061,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P1ES062,1972,1,ES062,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P1MA063,1972,1,MA063,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P2CI064,1972,2,CI064,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P2CI065,1972,2,CI065,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P2ES066,1972,2,ES066,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P2ES067,1972,2,ES067,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P2ES068,1972,2,ES068,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P2MA069,1972,2,MA069,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P3CI070,1972,3,CI070,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P3CI071,1972,3,CI071,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P3CI072,1972,3,CI072,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P3ES073,1972,3,ES073,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P3ES074,1972,3,ES074,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P3ES075,1972,3,ES075,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P3MA076,1972,3,MA076,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P4CI077,1972,4,CI077,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P4CI078,1972,4,CI078,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P4ES080,1972,4,ES080,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P4ES081,1972,4,ES081,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P4ES082,1972,4,ES082,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P4MA083,1972,4,MA083,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P5CI084,1972,5,CI084,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P5CI085,1972,5,CI085,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P5ES086,1972,5,ES086,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P5ES087,1972,5,ES087,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P5ES088,1972,5,ES088,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P5MA089,1972,5,MA089,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P6CI090,1972,6,CI090,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P6CI091,1972,6,CI091,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P6ES092,1972,6,ES092,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P6ES093,1972,6,ES093,1
CONALITEG_KEY_SNAPSHOT_0.1,H1972P6MA094,1972,6,MA094,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P1ES096,1982,1,ES096,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P1ES097,1982,1,ES097,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P1ES098,1982,1,ES098,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P1ES099,1982,1,ES099,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P2ES100,1982,2,ES100,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P2ES101,1982,2,ES101,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P2ES102,1982,2,ES102,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P3CI103,1982,3,CI103,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P3ES104,1982,3,ES104,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P3ES105,1982,3,ES105,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P3MA106,1982,3,MA106,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P4CI383,1982,4,CI383,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P4CI384,1982,4,CI384,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P4ES385,1982,4,ES385,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P4ES386,1982,4,ES386,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P4ES387,1982,4,ES387,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P4MA388,1982,4,MA388,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P5CI389,1982,5,CI389,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P5CI390,1982,5,CI390,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P5ES391,1982,5,ES391,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P5ES392,1982,5,ES392,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P5ES393,1982,5,ES393,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P5MA394,1982,5,MA394,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P6CI395,1982,6,CI395,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P6CI396,1982,6,CI396,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P6ES397,1982,6,ES397,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P6ES398,1982,6,ES398,1
CONALITEG_KEY_SNAPSHOT_0.1,H1982P6MA399,1982,6,MA399,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P1ES108,1988,1,ES108,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P1ES109,1988,1,ES109,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P1ES110,1988,1,ES110,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P1ES111,1988,1,ES111,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P2CI112,1988,2,CI112,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P2CI113,1988,2,CI113,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P2ES114,1988,2,ES114,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P3CI115,1988,3,CI115,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P3CI129,1988,3,CI129,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P3ES116,1988,3,ES116,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P3ES117,1988,3,ES117,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P3MA118,1988,3,MA118,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P4CI119,1988,4,CI119,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P4CI120,1988,4,CI120,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P4ES121,1988,4,ES121,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P4MA122,1988,4,MA122,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P5CI123,1988,5,CI123,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P5CI124,1988,5,CI124,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P5ES125,1988,5,ES125,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P5ES126,1988,5,ES126,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P5MA127,1988,5,MA127,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P6CI128,1988,6,CI128,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P6CI130,1988,6,CI130,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P6ES131,1988,6,ES131,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P6ES132,1988,6,ES132,1
CONALITEG_KEY_SNAPSHOT_0.1,H1988P6MA134,1988,6,MA134,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P1ES135,1993,1,ES135,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P1ES136,1993,1,ES136,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P1ES137,1993,1,ES137,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P1ES138,1993,1,ES138,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P1ES139,1993,1,ES139,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P1LI140,1993,1,LI140,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P1LI141,1993,1,LI141,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P1MA142,1993,1,MA142,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P1MA143,1993,1,MA143,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P2ES144,1993,2,ES144,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P2ES145,1993,2,ES145,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P2ES146,1993,2,ES146,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P2ES147,1993,2,ES147,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P2ES148,1993,2,ES148,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P2LI149,1993,2,LI149,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P2LI150,1993,2,LI150,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P2MA151,1993,2,MA151,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P2MA152,1993,2,MA152,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3CI153,1993,3,CI153,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3ES154,1993,3,ES154,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3ES155,1993,3,ES155,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3ES156,1993,3,ES156,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3ES400,1993,3,ES400,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI157,1993,3,HI157,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI158,1993,3,HI158,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI159,1993,3,HI159,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI160,1993,3,HI160,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI161,1993,3,HI161,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI162,1993,3,HI162,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI163,1993,3,HI163,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI164,1993,3,HI164,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI165,1993,3,HI165,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI166,1993,3,HI166,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI167,1993,3,HI167,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI168,1993,3,HI168,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI169,1993,3,HI169,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI170,1993,3,HI170,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI171,1993,3,HI171,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI172,1993,3,HI172,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI173,1993,3,HI173,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI174,1993,3,HI174,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI175,1993,3,HI175,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI176,1993,3,HI176,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI177,1993,3,HI177,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI178,1993,3,HI178,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI179,1993,3,HI179,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI180,1993,3,HI180,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI181,1993,3,HI181,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI182,1993,3,HI182,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI183,1993,3,HI183,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI184,1993,3,HI184,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI185,1993,3,HI185,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI186,1993,3,HI186,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI187,1993,3,HI187,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3HI188,1993,3,HI188,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P3MA189,1993,3,MA189,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P4CI191,1993,4,CI191,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P4CI192,1993,4,CI192,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P4ES193,1993,4,ES193,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P4ES194,1993,4,ES194,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P4ES195,1993,4,ES195,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P4GE196,1993,4,GE196,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P4GE197,1993,4,GE197,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P4HI198,1993,4,HI198,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P4MA199,1993,4,MA199,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P5CI200,1993,5,CI200,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P5ES201,1993,5,ES201,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P5ES202,1993,5,ES202,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P5GE203,1993,5,GE203,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P5GE204,1993,5,GE204,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P5GE205,1993,5,GE205,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P5HI206,1993,5,HI206,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P5MA207,1993,5,MA207,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P5MA208,1993,5,MA208,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6CI209,1993,6,CI209,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6CI210,1993,6,CI210,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6ES211,1993,6,ES211,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6ES212,1993,6,ES212,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6GE213,1993,6,GE213,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI214,1993,6,HI214,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI215,1993,6,HI215,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI216,1993,6,HI216,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI217,1993,6,HI217,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI218,1993,6,HI218,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI219,1993,6,HI219,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI220,1993,6,HI220,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI221,1993,6,HI221,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI222,1993,6,HI222,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI223,1993,6,HI223,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI224,1993,6,HI224,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI225,1993,6,HI225,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI226,1993,6,HI226,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI227,1993,6,HI227,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI228,1993,6,HI228,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI229,1993,6,HI229,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI230,1993,6,HI230,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI231,1993,6,HI231,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI232,1993,6,HI232,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI233,1993,6,HI233,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI234,1993,6,HI234,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI235,1993,6,HI235,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI236,1993,6,HI236,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI237,1993,6,HI237,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI238,1993,6,HI238,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI239,1993,6,HI239,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI240,1993,6,HI240,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI241,1993,6,HI241,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI242,1993,6,HI242,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI243,1993,6,HI243,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI244,1993,6,HI244,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI245,1993,6,HI245,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6HI246,1993,6,HI246,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6MA247,1993,6,MA247,1
CONALITEG_KEY_SNAPSHOT_0.1,H1993P6MA248,1993,6,MA248,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P1CI249,2008,1,CI249,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P1CI250,2008,1,CI250,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P1CI251,2008,1,CI251,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P1ED252,2008,1,ED252,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P1ES253,2008,1,ES253,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P1ES254,2008,1,ES254,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P1MA255,2008,1,MA255,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P2CI256,2008,2,CI256,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P2CI257,2008,2,CI257,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P2CI258,2008,2,CI258,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P2ED259,2008,2,ED259,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P2ED260,2008,2,ED260,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P2ES261,2008,2,ES261,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P2MA262,2008,2,MA262,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P3CI263,2008,3,CI263,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P3CI264,2008,3,CI264,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P3ES265,2008,3,ES265,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P3ES266,2008,3,ES266,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P3MA267,2008,3,MA267,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P4CI268,2008,4,CI268,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P4CI269,2008,4,CI269,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P4CI270,2008,4,CI270,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P4ES271,2008,4,ES271,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P4ES272,2008,4,ES272,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P4GE273,2008,4,GE273,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P4GE274,2008,4,GE274,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P4HI275,2008,4,HI275,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P4MA276,2008,4,MA276,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P5CI277,2008,5,CI277,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P5CI278,2008,5,CI278,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P5ED279,2008,5,ED279,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P5ED280,2008,5,ED280,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P5ES281,2008,5,ES281,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P5GE282,2008,5,GE282,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P5GE283,2008,5,GE283,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P5HI284,2008,5,HI284,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P5MA285,2008,5,MA285,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P6CI286,2008,6,CI286,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P6ED287,2008,6,ED287,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P6ES288,2008,6,ES288,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P6GE289,2008,6,GE289,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P6HI290,2008,6,HI290,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P6MA291,2008,6,MA291,1
CONALITEG_KEY_SNAPSHOT_0.1,H2008P6MA292,2008,6,MA292,1
CONALITEG_KEY_SNAPSHOT_0.1,H2011P1CI293,2011,1,CI293,1
CONALITEG_KEY_SNAPSHOT_0.1,H2011P1CI294,2011,1,CI294,1
CONALITEG_KEY_SNAPSHOT_0.1,H2011P1ED295,2011,1,ED295,1
CONALITEG_KEY_SNAPSHOT_0.1,H2011P1ED296,2011,1,ED296,1
CONALITEG_KEY_SNAPSHOT_0.1,H2011P1ES297,2011,1,ES297,1
CONALITEG_KEY_SNAPSHOT_0.1,H2011P1ES298,2011,1,ES298,1
CONALITEG_KEY_SNAPSHOT_0.1,H2011P1MA299,2011,1,MA299,1
CONALITEG_KEY_SNAPSHOT_0.1,H2011P2CI300,2011,2,CI300,1
CONALITEG_KEY_SNAPSHOT_0.1,H2011P2CI301,2011,2,CI301,1
