architecture_version,viewer_key,catalog_generation,grade_code,title_core,html_status,x_js_discovered,x_js_status,ag_pages_signal,standard_dynamic_architecture,source_url
LTMD_U1_W6_ARCHITECTURE_0.1,H1960P3GE008,1960,3,MI CUADERNO DE TRABAJO GEOGRAFÍA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H1960P3GE008.htm
LTMD_U1_W6_ARCHITECTURE_0.1,H1960P3GE009,1960,3,MI LIBRO DE GEOGRAFÍA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H1960P3GE009.htm
LTMD_U1_W6_ARCHITECTURE_0.1,H1960P4GE015,1960,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H1960P4GE015.htm
LTMD_U1_W6_ARCHITECTURE_0.1,H1960P4GE016,1960,4,MI LIBRO DE GEOGRAFÍA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H1960P4GE016.htm
LTMD_U1_W6_ARCHITECTURE_0.1,H1966P3GE352,1966,3,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H1966P3GE352.htm
LTMD_U1_W6_ARCHITECTURE_0.1,H1966P3GE353,1966,3,MI LIBRO DE GEOGRAFÍA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H1966P3GE353.htm
LTMD_U1_W6_ARCHITECTURE_0.1,H1966P4GE360,1966,4,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H1966P4GE360.htm
LTMD_U1_W6_ARCHITECTURE_0.1,H1966P4GE364,1966,4,MI LIBRO DE GEOGRAFÍA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H1966P4GE364.htm
LTMD_U1_W6_ARCHITECTURE_0.1,H1966P5GE367,1966,5,MI CUADERNO DE TRABAJO DE GEOGRAFÍA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H1966P5GE367.htm
LTMD_U1_W6_ARCHITECTURE_0.1,H1966P5GE368,1966,5,MI LIBRO DE GEOGRAFÍA,200,1,200,1,1,https://historico.conaliteg.gob.mx/H1966P5GE368.htm
