scope_version,viewer_key,book_id,catalog_generation,grade_code,title_core,asset_status_at_freeze,execution_action,source_url
LTMD_U1_W2_SCOPE_0.1,H2008P6MA292,U1-H2008P6MA292,2008,6,MATEMÁTICAS CUADERNO DE TRABAJO,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2008P6MA292.htm
LTMD_U1_W2_SCOPE_0.1,H2011P1MA299,U1-H2011P1MA299,2011,1,MATEMÁTICAS,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2011P1MA299.htm
LTMD_U1_W2_SCOPE_0.1,H2011P2MA306,U1-H2011P2MA306,2011,2,MATEMÁTICAS,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2011P2MA306.htm
LTMD_U1_W2_SCOPE_0.1,H2011P3MA313,U1-H2011P3MA313,2011,3,MATEMÁTICAS,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2011P3MA313.htm
LTMD_U1_W2_SCOPE_0.1,H2011P4MA324,U1-H2011P4MA324,2011,4,MATEMÁTICAS,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2011P4MA324.htm
LTMD_U1_W2_SCOPE_0.1,H2011P5MA334,U1-H2011P5MA334,2011,5,MATEMÁTICAS,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2011P5MA334.htm
LTMD_U1_W2_SCOPE_0.1,H2011P6MA343,U1-H2011P6MA343,2011,6,MATEMÁTICAS,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2011P6MA343.htm
LTMD_U1_W2_SCOPE_0.1,H2014P1DMA,U1-H2014P1DMA,2014,1,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P1DMA.htm
LTMD_U1_W2_SCOPE_0.1,H2014P1DMM,U1-H2014P1DMM,2014,1,Desafíos matemáticos. Libro para el maestro,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P1DMM.htm
LTMD_U1_W2_SCOPE_0.1,H2014P2DMA,U1-H2014P2DMA,2014,2,Desafíos matemáticos. Libro para el alumno,not_yet_audited,architecture_then_direct_ingestion,https://historico.conaliteg.gob.mx/H2014P2DMA.htm
