scanner_version,page_id,book_id,catalog_generation,grade,viewer_page,selected_psm,source_sha256_verified,front_zone,end_zone,front_matter_score,toc_navigation_score,bibliography_credits_score,matched_category_count,error
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP008,U1-H1966P6CI375,1966,6,8,3,1,1,0,0,0,2,1,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP009,U1-H1966P6CI375,1966,6,9,3,1,1,0,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP010,U1-H1966P6CI375,1966,6,10,3,1,1,0,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP011,U1-H1966P6CI375,1966,6,11,3,1,1,0,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP012,U1-H1966P6CI375,1966,6,12,3,1,1,0,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP013,U1-H1966P6CI375,1966,6,13,3,1,1,0,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP014,U1-H1966P6CI375,1966,6,14,3,1,1,0,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP015,U1-H1966P6CI375,1966,6,15,3,1,1,0,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP016,U1-H1966P6CI375,1966,6,16,3,1,1,0,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP147,U1-H1966P6CI375,1966,6,147,3,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP148,U1-H1966P6CI375,1966,6,148,3,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP149,U1-H1966P6CI375,1966,6,149,3,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP150,U1-H1966P6CI375,1966,6,150,3,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP151,U1-H1966P6CI375,1966,6,151,3,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP152,U1-H1966P6CI375,1966,6,152,3,1,0,1,0,1,0,1,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP153,U1-H1966P6CI375,1966,6,153,3,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP154,U1-H1966P6CI375,1966,6,154,3,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP155,U1-H1966P6CI375,1966,6,155,3,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP156,U1-H1966P6CI375,1966,6,156,3,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP157,U1-H1966P6CI375,1966,6,157,3,1,0,1,0,1,0,1,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP158,U1-H1966P6CI375,1966,6,158,3,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP159,U1-H1966P6CI375,1966,6,159,3,1,0,1,0,0,1,1,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP160,U1-H1966P6CI375,1966,6,160,6,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP161,U1-H1966P6CI375,1966,6,161,6,1,0,1,0,0,0,0,
LTMD_U1_W1_1966_STRUCTKW_0.1,U1-H1966P6CI375-VP162,U1-H1966P6CI375,1966,6,162,3,1,0,1,0,0,0,0,
