manifest_version,book_id,viewer_key,catalog_generation,grade_code,title_core,viewer_positions,source_jpegs,terminal_synthetic,internal_unserved,source_bytes,unique_source_hashes,asset_layer_ready
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI374,H1966P6CI374,1966,6,MI CUADERNO DE TRABAJO DE ESTUDIO DE LA NATURALEZA,179,178,1,0,10977933,178,1
LTMD_U1_W1_1966_PAGE_MANIFEST_0.1,U1-H1966P6CI375,H1966P6CI375,1966,6,MI LIBRO DE ESTUDIO DE LA NATURALEZA,163,162,1,0,12063521,162,1
