comparison_version,viewer_key,official_code,candidate_label,candidate_base,viewer_page,source_image_index,asset_status_historical,historical_url,official_url,http_status,content_type,byte_size,jpeg_magic,historical_sha256,official_sha256,sha256_match,error
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,1,0,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/000.jpg,https://libros.conaliteg.gob.mx/c/P3COL/000.jpg,404,,0,0,d6deb4ad2d60b0f16cc29f2c2ff65ff8273f1203f0b68b16e45e871780addf0d,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,2,2,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/002.jpg,https://libros.conaliteg.gob.mx/c/P3COL/002.jpg,404,,0,0,0343d87901dccab570a59ec00fe5bd210d91556eef84c48512f6b234f35b473f,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,3,3,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/003.jpg,https://libros.conaliteg.gob.mx/c/P3COL/003.jpg,404,,0,0,ca61ed6e90c5ce4ef814e541ea0b68d989d981cd5a6237c29d83075feb85024d,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,4,4,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/004.jpg,https://libros.conaliteg.gob.mx/c/P3COL/004.jpg,404,,0,0,74c297c03503b37ec09f4ca1dc0d4a2643f2f631cb1062fe0f7ee342b80187f6,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,5,5,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/005.jpg,https://libros.conaliteg.gob.mx/c/P3COL/005.jpg,404,,0,0,93353f14793c837a61cfa6964a66d98b4d2d3e82ca875bcabccc6f10e5946be8,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,6,6,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/006.jpg,https://libros.conaliteg.gob.mx/c/P3COL/006.jpg,404,,0,0,39f45a394d4669d29c692c20b072423a4fc7ce9fa6341388eb40cd20b9d2e8de,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,7,7,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/007.jpg,https://libros.conaliteg.gob.mx/c/P3COL/007.jpg,404,,0,0,6730743ea37a2fd5e084117625d0fa52e227fd61add30ca3bd8bd92b7c7fe2ab,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,8,8,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/008.jpg,https://libros.conaliteg.gob.mx/c/P3COL/008.jpg,404,,0,0,c43cd5ad40a733d52ebf7acde4797e47c6f916aa5f10b133c3b65dc82fc94e2c,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,9,9,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/009.jpg,https://libros.conaliteg.gob.mx/c/P3COL/009.jpg,404,,0,0,cd6b723f419f850c2d830aeadb6e010748885b799c22fbb13134fa86921dfe7c,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,10,10,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/010.jpg,https://libros.conaliteg.gob.mx/c/P3COL/010.jpg,404,,0,0,1d068ec42ff16284742f8fb4652f5791e412697b523787ce5f2e4e9d05d87d37,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,11,11,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/011.jpg,https://libros.conaliteg.gob.mx/c/P3COL/011.jpg,404,,0,0,19697019765b4cd8e1aa1f4ccb7e16e82bfb0b6897383a3f247745376bc176cc,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,12,12,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/012.jpg,https://libros.conaliteg.gob.mx/c/P3COL/012.jpg,404,,0,0,b8be4af48374ff92978d1ea3230e97c5784580d9676f224409a2e3f6e59e82b3,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,13,13,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/013.jpg,https://libros.conaliteg.gob.mx/c/P3COL/013.jpg,404,,0,0,1d19c7ffd1cebc056c2f6166ad56e1f535399d7d226ee6b023a87d8ab7aaec07,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,14,14,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/014.jpg,https://libros.conaliteg.gob.mx/c/P3COL/014.jpg,404,,0,0,0dbfad1911b45fdb3e1a2b2a1d9a0c956b240c758bf6ba6c623bea9fa759627d,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,15,15,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/015.jpg,https://libros.conaliteg.gob.mx/c/P3COL/015.jpg,404,,0,0,7b17938ffe978da9afbf7ad8c4400c7a0d3231eca91714dc39b9b30b01d9a23d,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,16,16,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/016.jpg,https://libros.conaliteg.gob.mx/c/P3COL/016.jpg,404,,0,0,802fd681977a6f0131e2f344d40a3e06dffba3e22bfd4fa314150628847c5e77,,0,HTTP 404
LTMD_U1_W11_COLIMA_OFFICIAL_SEQUENCES_0.1,H2014P3COL,P3COL,root,https://libros.conaliteg.gob.mx/c/P3COL/,17,17,source_jpeg,https://historico.conaliteg.gob.mx/c/H2014P3COL/017.jpg,https://libros.conaliteg.gob.mx/c/P3COL/017.jpg,404,,0,0,3d193c555aeed57058d6658d98adc3e14816a56eec0e820ab0246b2cbca2fff9,,0,HTTP 404
