routing_version,viewer_key,catalog_generation,grade_code,title_core,technical_route,architecture_signature,source_url
LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H1993P4CI192,1993,4,Conoce nuestra constitución,nonstandard_html_diagnostics,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H1993P4CI192.htm
LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2008P4CI270,2008,4,CONOCE NUESTRA CONSTITUCIÓN,nonstandard_html_diagnostics,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2008P4CI270.htm
LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2011P4CI316,2011,4,CONOCE NUESTRA CONSTITICIÓN,nonstandard_html_diagnostics,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2011P4CI316.htm
LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P1CAM,2014,1,"Material de apoyo a la alfabetización inicial, Tiras recortables y cartel con el alfabeto",nonstandard_html_diagnostics,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2014P1CAM.htm
LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P1EAM,2014,1,Fichero didactico (incluye DVD),nonstandard_html_diagnostics,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2014P1EAM.htm
LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P2EAM,2014,2,Fichero didactico (incluye DVD),nonstandard_html_diagnostics,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2014P2EAM.htm
LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2014P4CCA,2014,4,Conoce nuestra Constitución,nonstandard_html_diagnostics,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2014P4CCA.htm
LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2018P1CAM,2018,1,Material de apoyo a la alfabetización Inicial. Tiras recortables,nonstandard_html_diagnostics,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2018P1CAM.htm
LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2018P4CCA,2018,4,Conoce Nuestra Constitución,nonstandard_html_diagnostics,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2018P4CCA.htm
LTMD_U1_W11_TECHNICAL_ROUTING_0.1,H2019P1CAM,2019,1,Material de apoyo a la alfabetización Inicial. Tiras recortables. PrImer grado,nonstandard_html_diagnostics,html200|x0:0|agp0|agc0|clv0|mag0,https://historico.conaliteg.gob.mx/H2019P1CAM.htm
