observation_version,observation_id,viewer_key,catalog_generation,field,normalized_value,display_value,evidence_class,evidence_viewer_page,evidence_image_index,evidence_sha256,evidence_byte_size,extraction_source_version,human_validated,admissibility_note,support_class,support_evidence_count
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P2CI257:edition_history_statement:first_edition:2008,H2008P2CI257,2008,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,2,2,1c00dc7ad9443038e26b53b9bab48411cc3908eff89e14d8d1683e311d2ab24a,80132,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P2CI257:school_cycle_statement:2008-2009,H2008P2CI257,2008,school_cycle_statement,2008-2009,ciclo escolar 2008-2009,primary_source_page_ocr_multipsm,6,6,ea29f485c8aa9cca4bd8f811645349fa4127a30e2b1983014fd92b91d0d8d633,87196,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,2
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P2CI258:edition_history_statement:first_edition:2008,H2008P2CI258,2008,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,4,4,42d0eefd8eedfc9e6383d90a35f9352be9caa2e6cae9a0bf0c437dfd51a8ffec,55789,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P2CI258:edition_history_statement:second_edition:2009,H2008P2CI258,2008,edition_history_statement,second_edition:2009,"Segunda edición, 2009",primary_source_page_ocr_multipsm,4,4,42d0eefd8eedfc9e6383d90a35f9352be9caa2e6cae9a0bf0c437dfd51a8ffec,55789,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P2CI258:isbn_statement:978-607-469-110-8,H2008P2CI258,2008,isbn_statement,978-607-469-110-8,ISBN 978-607-469-110-8,primary_source_page_ocr_multipsm,4,4,42d0eefd8eedfc9e6383d90a35f9352be9caa2e6cae9a0bf0c437dfd51a8ffec,55789,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P3CI264:edition_history_statement:first_edition:2008,H2008P3CI264,2008,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,2,2,ec23f8f9b238392d1ce6ffd43025af0ea95009cb92f3ed10d3e6417e78c2b357,85247,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P3CI264:edition_history_statement:second_edition:2009,H2008P3CI264,2008,edition_history_statement,second_edition:2009,"Segunda edición, 2009",primary_source_page_ocr_multipsm,2,2,ec23f8f9b238392d1ce6ffd43025af0ea95009cb92f3ed10d3e6417e78c2b357,85247,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P4CI269:edition_history_statement:first_edition:2008,H2008P4CI269,2008,edition_history_statement,first_edition:2008,"Primera edición, 2008",primary_source_page_ocr_multipsm,2,2,4ebee1ca74cf5d45aa3bafc1434613e5f90b70d92e3c322c48825b1f0d32d559,84496,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P4CI269:edition_history_statement:second_edition:2009,H2008P4CI269,2008,edition_history_statement,second_edition:2009,"Segunda edición, 2009",primary_source_page_ocr_multipsm,2,2,4ebee1ca74cf5d45aa3bafc1434613e5f90b70d92e3c322c48825b1f0d32d559,84496,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
LTMD_BIBLIOGRAPHIC_OBSERVATIONS_0.4,H2008P4CI269:isbn_statement:978-607-469-112-2,H2008P4CI269,2008,isbn_statement,978-607-469-112-2,ISBN 978-607-469-112-2,primary_source_page_ocr_multipsm,2,2,4ebee1ca74cf5d45aa3bafc1434613e5f90b70d92e3c322c48825b1f0d32d559,84496,LTMD_U1_W7_BIBLIOGRAPHIC_CANDIDATE_SUPPORT_0.1,0,"institutional source page; same structured statement observed by >=2 OCR PSM modes; history statement only, not resolved current-edition semantics; catalog_generation not used to infer value",strong_multipsm,1
