profile_version,scope_version,viewer_key,catalog_generation,grade_code,title_core,source_host,source_path_shape,generic_grade_book,recortable,libro_integrado,monografia_estatal,constitucion_literal,educacion_fisica_literal,entidad_donde_vivo,material_alfabetizacion,fichero_didactico,conocimiento_medio,matematicas_literal,signal_signature
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P4CI192,1993,4,Conoce nuestra constitución,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,0,1,0,0,0,0,0,0,constitucion_literal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI215,1993,6,MONOGRAFÍA ESTATAL AGUASCALIENTES,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI216,1993,6,MONOGRAFÍA ESTATAL BAJA CALIFORNIA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI217,1993,6,MONOGRAFÍA ESTATAL BAJA CALIFORNIA SUR,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI218,1993,6,MONOGRAFÍA ESTATAL COAHUILA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI219,1993,6,MONOGRAFÍA ESTATAL COLIMA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI220,1993,6,MONOGRAFÍA ESTATAL CAMPECHE,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI221,1993,6,MONOGRAFÍA ESTATAL CHIAPAS,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI222,1993,6,MONOGRAFÍA ESTATAL CHIHUAHUA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI223,1993,6,MONOGRAFÍA ESTATAL DISTRITO FEDERAL,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI224,1993,6,MONOGRAFÍA ESTATAL DURANGO,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI225,1993,6,MONOGRAFÍA ESTATAL ESTADO DE MÉXICO,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI226,1993,6,MONOGRAFÍA ESTATAL GUANAJUATO,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI227,1993,6,MONOGRAFÍA ESTATAL GUERRERO,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI228,1993,6,MONOGRAFÍA ESTATAL HIDALGO,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI229,1993,6,MONOGRAFÍA ESTATAL JALISCO,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI230,1993,6,MONOGRAFÍA ESTATAL MICHOACÁN,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI231,1993,6,MONOGRAFÍA ESTATAL MORELOS,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI232,1993,6,MONOGRAFÍA ESTATAL NAYARIT,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI233,1993,6,MONOGRAFÍA ESTATAL NUEVO LEÓN,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI234,1993,6,MONOGRAFÍA ESTATAL OAXACA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI235,1993,6,MONOGRAFÍA ESTATAL PUEBLA,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI236,1993,6,MONOGRAFÍA ESTATAL QUERÉTARO,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI237,1993,6,MONOGRAFÍA ESTATAL QUINTANA ROO,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
LTMD_U1_W11_HETEROGENEITY_0.1,LTMD_U1_W11_OTROS_SCOPE_0.1,H1993P6HI238,1993,6,MONOGRAFÍA ESTATAL SAN LUIS POTOSÍ,historico.conaliteg.gob.mx,historico_root_viewer_htm,0,0,0,1,0,0,0,0,0,0,0,monografia_estatal
