audit_version,book_id,catalog_generation,grade,viewer_key,viewer_page,original_http_status,html_final_url,html_key_references,candidate_content_key,candidate_is_original,candidate_asset_url,candidate_reachable_image,candidate_http_status,candidate_content_type,html_error
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,9,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/009.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,9,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/009.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,10,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/010.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,10,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/010.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,11,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/011.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,11,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/011.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,12,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/012.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,12,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/012.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,13,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/013.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,13,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/013.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,14,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/014.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,14,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/014.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,15,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/015.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,15,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/015.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,16,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/016.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,16,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/016.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,17,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/017.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,17,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/017.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,18,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/018.jpg,1,206,image/jpeg,
